string_field_0,string_field_2,string_field_3,string_field_45,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_44,string_field_43,string_field_5
United Kingdom,20-24,41310,"$40,000 - $60,000",Java,JavaScript,,,,,,C#,C++,,,,D,I enjoy going to work,Windows XP,Mid Sized (100-999)
Russia,25-29,41435,"<$20,000",,,,,,,,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Other Europe,35-39,11,"$60,000 - $80,000",,,,,,,SQL,C#,,C,,,"obj-c , vba",It pays the bills,Mac OS X,"Fortune 1000 (1,000+)"
United Kingdom,51-60,11,,,,,,,,SQL,,,,,,,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
United States of America,35-39,11,"$60,000 - $80,000",,,,,,,SQL,C#,C++,,,,,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
United States of America,20-24,41310,"$100,000 - $120,000",Java,,,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
Other Europe,30-34,11,,Java,,,,Python,Ruby,SQL,,,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
Italy,25-29,41310,"<$20,000",,,,,,,,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Africa,25-29,41310,"$20,000 - $40,000",,,,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mid Sized (100-999)
Other Europe,25-29,11,"$60,000 - $80,000",Java,,,,,,,C#,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
United States of America,25-29,41435,"$100,000 - $120,000",,JavaScript,CSS,,Python,,,C#,C++,C,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
India,20-24,41310,"<$20,000",,,,,Python,,,,,,,,Java,So happy it hurts,Linux,Start Up (1-25)
United States of America,20-24,41310,"$40,000 - $60,000",Java,,,,,,,,,,,,Objective-C,I enjoy going to work,Mac OS X,Mid Sized (100-999)
United States of America,20-24,<2,"$40,000 - $60,000",,,,PHP,,Ruby,SQL,,,,,,"VB, COBOL",I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
Other Asia,20-24,41435,Student / Unemployed,,,,,,,,,C++,C,,,,I'm not happy in my job,Windows XP,"Fortune 1000 (1,000+)"
Other Europe,30-34,11,,,,,,,,SQL,,,,,,Object Pascal,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Middle East,35-39,41435,,,,,,,,SQL,C#,C++,,,,PowerBuilder,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Other Europe,25-29,41435,Student / Unemployed,Java,,,,,,,,C++,,,,,So happy it hurts,Windows 7,Student
India,20-24,41310,"<$20,000",Java,,,,,,,C#,C++,C,,,,I enjoy going to work,Windows 7,Start Up (1-25)
South America,30-34,41435,"<$20,000",,JavaScript,,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Start Up (1-25)
South America,20-24,<2,"$20,000 - $40,000",,,CSS,,Python,,,C#,C++,C,,,,I'm not happy in my job,Windows XP,Mature Small Business (25-100)
United States of America,20-24,41310,"$60,000 - $80,000",,,,,,,,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United Kingdom,25-29,41310,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
United States of America,30-34,41435,"$80,000 - $100,000",,,,,,,SQL,C#,C++,,,,,It pays the bills,Windows XP,Mature Small Business (25-100)
United States of America,35-39,11,"$100,000 - $120,000",,,,,,,,,C++,C,,,Tcl,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
Other Europe,51-60,11,"$80,000 - $100,000",,,,,,,SQL,,,,,,VB,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,30-34,41435,"$100,000 - $120,000",,,,,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows XP,Start Up (1-25)
United Kingdom,30-34,41435,"$40,000 - $60,000",,,CSS,,Python,,,,C++,C,,,,I enjoy going to work,Linux,Mid Sized (100-999)
India,25-29,<2,"<$20,000",,,,,Python,,,C#,,,,,,I enjoy going to work,Windows Vista,Mid Sized (100-999)
Italy,30-34,41435,"$40,000 - $60,000",,,,,,,,C#,,,,,VB.NET,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Canada,25-29,41310,"$40,000 - $60,000",Java,,,,,,,,C++,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
India,20-24,41310,"<$20,000",,,,,,,,C#,C++,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,40-50,41435,"$60,000 - $80,000",,JavaScript,,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
United Kingdom,25-29,41310,"$60,000 - $80,000",,JavaScript,CSS,PHP,Python,,SQL,,C++,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Other Europe,30-34,41435,"$20,000 - $40,000",,,,,,,,C#,C++,C,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,30-34,41310,"$40,000 - $60,000",,,,,,,,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Australia,25-29,41310,"$60,000 - $80,000",,,,,Python,,,,,,,,Prolog,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
India,20-24,41310,"<$20,000",,,,,,,,,,,,,cocoa,I enjoy going to work,Mac OS X,Start Up (1-25)
United Kingdom,25-29,41310,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,,It pays the bills,Windows XP,Mature Small Business (25-100)
United States of America,25-29,41310,"$60,000 - $80,000",,,,,,,,C#,,,,,,I'm not happy in my job,Windows 7,"Fortune 1000 (1,000+)"
Germany,20-24,41435,"<$20,000",,,,,Python,,,C#,,,,,VB,I enjoy going to work,Mac OS X,Student
United States of America,25-29,41310,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,,C#,,,,,,So happy it hurts,Mac OS X,"Other (not working, consultant, etc.)"
United States of America,35-39,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,,,,,,VB.NET,I'm not happy in my job,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41435,"$60,000 - $80,000",,,,,,,,,C++,,,,,It pays the bills,Linux,"Fortune 1000 (1,000+)"
Canada,30-34,41435,"$80,000 - $100,000",,,,,Python,,,,C++,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
Canada,30-34,11,Student / Unemployed,,JavaScript,CSS,PHP,,,SQL,,C++,C,,None,"Pascal, Assembler",I enjoy going to work,Windows 7,Start Up (1-25)
Other Europe,20-24,11,"<$20,000",,JavaScript,,,,,,C#,,C,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Australia,35-39,11,"$40,000 - $60,000",,,,,,,,C#,,,,,Classic VB,It pays the bills,Windows Vista,Mature Small Business (25-100)
United States of America,30-34,11,,,,,,,,SQL,C#,C++,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,20-24,41435,"$80,000 - $100,000",Java,,,,Python,,SQL,C#,,,,,,It pays the bills,Mac OS X,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,,,,,,,,,,C++,C,Perl,,,It pays the bills,Linux,Mid Sized (100-999)
France,30-34,41435,"$40,000 - $60,000",Java,,,,Python,,,,C++,C,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
South America,30-34,11,"$40,000 - $60,000",,,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
United States of America,40-50,11,"$120,000 - $140,000",,,CSS,PHP,Python,,SQL,,C++,C,Perl,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Other Asia,25-29,41435,"$60,000 - $80,000",Java,,CSS,,,Ruby,,,C++,C,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,40-50,11,"$100,000 - $120,000",,,,,,,,C#,C++,C,Perl,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
Other Europe,20-24,41310,"<$20,000",Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,,I enjoy going to work,Linux,Mature Small Business (25-100)
United States of America,20-24,11,"$100,000 - $120,000",,,,,,,,,,C,,,Objective-C,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
Germany,25-29,41435,"$20,000 - $40,000",,,,,,,,,,C,,,Objective-C,I enjoy going to work,Mac OS X,Start Up (1-25)
South America,30-34,11,"$40,000 - $60,000",Java,JavaScript,,,,,,C#,,,,,Objective-C,So happy it hurts,Mac OS X,Start Up (1-25)
Netherlands,25-29,41310,"$40,000 - $60,000",Java,,,PHP,,,SQL,C#,,C,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
United States of America,40-50,11,"$120,000 - $140,000",Java,,,,Python,,SQL,,C++,C,,,FORTRAN,It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
Germany,20-24,41310,"$40,000 - $60,000",,,,,,Ruby,,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Germany,40-50,11,"$80,000 - $100,000",,JavaScript,,,,,SQL,,C++,C,,,Delphi,So happy it hurts,Windows XP,Mid Sized (100-999)
Other Europe,25-29,41310,,,JavaScript,CSS,PHP,,,SQL,C#,,,,,"vb.net, bash scripting",It pays the bills,,"Fortune 1000 (1,000+)"
Other Europe,25-29,41310,"<$20,000",,,,,,,,,C++,C,,,objective-c,It pays the bills,Mac OS X,Start Up (1-25)
South America,30-34,11,"$20,000 - $40,000",,,,,,,,,,,,,objective-c,So happy it hurts,Mac OS X,"Other (not working, consultant, etc.)"
United States of America,25-29,41310,"$60,000 - $80,000",Java,,,,,,,,C++,C,,,,I'm not happy in my job,Mac OS X,Mature Small Business (25-100)
United States of America,40-50,11,">$140,000",Java,JavaScript,,,,,,,C++,C,Perl,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
United Kingdom,20-24,<2,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,,C++,C,,,objective-c,I enjoy going to work,Mac OS X,Start Up (1-25)
Germany,25-29,11,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
United Kingdom,35-39,11,"$80,000 - $100,000",,,,,,,,C#,C++,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United Kingdom,30-34,11,">$140,000",Java,,,,,,,C#,,,,,,So happy it hurts,Mac OS X,"Fortune 1000 (1,000+)"
United States of America,< 20,11,,,,,,,,,,,,,,,FML,,Start Up (1-25)
Other Europe,30-34,11,"$20,000 - $40,000",Java,,CSS,,Python,,SQL,,C++,C,Perl,,Objective-C,I enjoy going to work,Linux,Mature Small Business (25-100)
United Kingdom,35-39,11,"$60,000 - $80,000",Java,,,,Python,Ruby,,,C++,C,Perl,,,I enjoy going to work,Windows 7,Start Up (1-25)
Russia,20-24,41310,,Java,,,,Python,Ruby,SQL,C#,,,,,Erlang,I enjoy going to work,Linux,Mature Small Business (25-100)
United States of America,30-34,41435,"$80,000 - $100,000",,,,,,,SQL,C#,,,Perl,,"""Proficient"" seems too rosey a word for it.",It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,30-34,41435,"$80,000 - $100,000",,,CSS,,,,,,C++,C,Perl,,,It pays the bills,Windows XP,Mature Small Business (25-100)
United States of America,30-34,41435,"$100,000 - $120,000",,,,,Python,,,,C++,C,Perl,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
North America (Other),35-39,11,"$20,000 - $40,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
India,25-29,41435,"$40,000 - $60,000",,,,,,,,,C++,C,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Other Europe,30-34,41435,"$20,000 - $40,000",Java,,,,,,,,C++,C,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,"$60,000 - $80,000",,,CSS,,Python,,,,C++,C,,,,I'm not happy in my job,Windows XP,"Fortune 1000 (1,000+)"
Canada,30-34,41435,"$60,000 - $80,000",,,CSS,,,,SQL,,C++,C,,,,I enjoy going to work,Linux,Mature Small Business (25-100)
United States of America,30-34,41435,"$100,000 - $120,000",,,,,Python,,,C#,C++,C,,,,So happy it hurts,Windows 7,"Fortune 1000 (1,000+)"
United States of America,30-34,11,,Java,,,,Python,,,,C++,C,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Other Europe,25-29,41435,"$20,000 - $40,000",,,CSS,PHP,Python,,SQL,,,C,,,,I enjoy going to work,Linux,Mature Small Business (25-100)
Germany,25-29,41435,"$40,000 - $60,000",Java,JavaScript,CSS,,,,SQL,,,,,,Objective-C,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Australia,25-29,41310,"$20,000 - $40,000",Java,,,,Python,,,,C++,C,,,,So happy it hurts,Linux,Start Up (1-25)
United States of America,25-29,41435,"$60,000 - $80,000",Java,JavaScript,,,,,,C#,C++,C,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,"$60,000 - $80,000",,,,,Python,,,,C++,,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,"$60,000 - $80,000",,,,,,,,C#,,,,,"Smalltalk, VBScript",So happy it hurts,Windows XP,Mid Sized (100-999)
Other Europe,30-34,41435,,Java,,,,Python,,,,C++,C,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,40-50,11,,,,,,,,,,,,,,,,,Start Up (1-25)
United States of America,40-50,11,"$120,000 - $140,000",,,,,,,,,C++,C,,,,It pays the bills,Windows XP,Mid Sized (100-999)
United States of America,25-29,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,C#,C++,C,Perl,,"bash, tcl",I enjoy going to work,Windows XP,Mid Sized (100-999)
Canada,25-29,41310,"$60,000 - $80,000",Java,,,,,,,C#,C++,C,Perl,,,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,40-50,11,">$140,000",,,,,,,SQL,,C++,,,,TCL,I enjoy going to work,Windows XP,Mature Small Business (25-100)
United States of America,40-50,11,,,,,,Python,,,C#,C++,C,,,,,Windows XP,"Fortune 1000 (1,000+)"
Other Europe,30-34,41435,"$40,000 - $60,000",Java,,,,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Other Europe,25-29,11,"$80,000 - $100,000",,JavaScript,CSS,,,,,,,,Perl,,Objective-C,I enjoy going to work,Mac OS X,Start Up (1-25)
Italy,30-34,11,"$20,000 - $40,000",Java,JavaScript,CSS,,,,SQL,C#,C++,C,,,"Assembler, BASIC",I'm not happy in my job,Windows 7,"Fortune 1000 (1,000+)"
Other Europe,25-29,41310,"$20,000 - $40,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,30-34,11,"$100,000 - $120,000",Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,It pays the bills,Windows 7,Mid Sized (100-999)
Germany,25-29,11,Student / Unemployed,Java,JavaScript,CSS,PHP,Python,,SQL,,,C,,,,I'm not happy in my job,Linux,Student
United Kingdom,30-34,11,">$140,000",,,,,,,,,,C,Perl,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Other Europe,30-34,41435,"$60,000 - $80,000",,,,,,,,,,C,,,VHDL,I enjoy going to work,Windows XP,Mature Small Business (25-100)
United States of America,20-24,41310,"$60,000 - $80,000",,JavaScript,CSS,,Python,,,,,C,,,Objective-C,I enjoy going to work,Mac OS X,Start Up (1-25)
Other Europe,20-24,41310,"<$20,000",Java,,,,,,,C#,C++,,,,,It pays the bills,Windows 7,Start Up (1-25)
South America,20-24,41310,"$20,000 - $40,000",Java,,,,,,,,,,,,,So happy it hurts,Linux,"Other (not working, consultant, etc.)"
United States of America,40-50,11,"$100,000 - $120,000",Java,,,,Python,,,C#,C++,C,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,35-39,11,">$140,000",,,,,,,,C#,C++,C,Perl,,,So happy it hurts,Linux,"Fortune 1000 (1,000+)"
South America,30-34,41435,"$20,000 - $40,000",,,,,,,,,,C,,,Object Pascal (Delphi),It pays the bills,Windows Vista,Mid Sized (100-999)
Australasia,35-39,11,"$80,000 - $100,000",,JavaScript,,,Python,,,,C++,C,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,25-29,41435,"$80,000 - $100,000",Java,,,,,,,C#,C++,C,,,ActionScript,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
Other Asia,40-50,11,,Java,,CSS,PHP,,,,,C++,C,,,x86 assembler OO-pascal,So happy it hurts,Linux,Start Up (1-25)
Other Europe,25-29,11,"$40,000 - $60,000",,JavaScript,CSS,,Python,Ruby,,,,C,,,Objective-C,So happy it hurts,Mac OS X,Start Up (1-25)
United States of America,25-29,41435,"$60,000 - $80,000",Java,,,,,,,,C++,C,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,30-34,11,"$100,000 - $120,000",Java,JavaScript,CSS,,Python,Ruby,SQL,C#,C++,C,Perl,,R VB,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
United States of America,20-24,41435,"$60,000 - $80,000",Java,JavaScript,,PHP,,,SQL,C#,C++,C,,,,So happy it hurts,Windows 7,"Fortune 1000 (1,000+)"
United States of America,35-39,11,"$120,000 - $140,000",,,,,,,,,C++,C,Perl,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Other Europe,35-39,11,"$80,000 - $100,000",,,,,,,,C#,C++,C,,,,I enjoy going to work,Windows XP,Start Up (1-25)
India,20-24,41310,"$20,000 - $40,000",,,,,,,,,,C,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
France,20-24,41310,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,Objective C,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,51-60,11,"$100,000 - $120,000",,,,,,,,,C++,C,,,bash,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
Germany,25-29,41310,"<$20,000",,,,,,,,C#,,,Perl,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Middle East,30-34,41310,"$100,000 - $120,000",,JavaScript,CSS,PHP,,,,,C++,C,,,,I'm not happy in my job,Linux,Mature Small Business (25-100)
Africa,25-29,41310,"<$20,000",Java,,,,,,SQL,,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
Other Europe,25-29,41435,"$20,000 - $40,000",Java,,,,,Ruby,,,,,,,objective c,So happy it hurts,Mac OS X,Mature Small Business (25-100)
Other Asia,25-29,41435,"$80,000 - $100,000",Java,,,,Python,,SQL,C#,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
Germany,30-34,11,"$100,000 - $120,000",,,,,,,SQL,C#,C++,C,,,,I'm not happy in my job,Windows XP,"Fortune 1000 (1,000+)"
Germany,30-34,11,,,,,,,,,C#,C++,C,,,,,Windows 7,Mature Small Business (25-100)
Germany,25-29,11,"<$20,000",,,,,,,,,,C,,,Objective-C,It pays the bills,Mac OS X,Start Up (1-25)
United States of America,30-34,11,"$20,000 - $40,000",,,,PHP,,,SQL,,C++,C,,,,It pays the bills,Windows 7,Start Up (1-25)
Other Europe,20-24,41310,"$20,000 - $40,000",,,,,,,,C#,,,,,Objective-C,I enjoy going to work,Mac OS X,Mid Sized (100-999)
Netherlands,35-39,11,"$40,000 - $60,000",Java,,,,,,,C#,C++,C,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
Russia,25-29,41310,"$20,000 - $40,000",Java,,,,,,,,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
India,25-29,41310,"<$20,000",,,,,,,,,,C,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
Middle East,20-24,<2,"<$20,000",Java,,,,,,SQL,,,,,,,It pays the bills,Linux,Start Up (1-25)
India,20-24,<2,"<$20,000",Java,JavaScript,,,Python,Ruby,,C#,C++,C,,,"Haskell,Scheme",I'm not happy in my job,Linux,"Fortune 1000 (1,000+)"
Other Europe,25-29,41435,"<$20,000",,JavaScript,CSS,PHP,,Ruby,,,,C,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,40-50,11,"$120,000 - $140,000",Java,,,,,,SQL,C#,C++,,,,,So happy it hurts,Linux,"Fortune 1000 (1,000+)"
United States of America,25-29,41310,"$40,000 - $60,000",,,CSS,,Python,,,,,C,,,,I enjoy going to work,Linux,Mature Small Business (25-100)
France,25-29,41310,"$20,000 - $40,000",,,,,,,,,C++,C,,,Objective-C,I enjoy going to work,Mac OS X,"Other (not working, consultant, etc.)"
United States of America,25-29,41435,"$40,000 - $60,000",,,,,,,,,,,,None,,I enjoy going to work,Windows XP,"Other (not working, consultant, etc.)"
United Kingdom,40-50,11,"$60,000 - $80,000",,,,,,,,,,C,Perl,,,It pays the bills,Windows XP,Mid Sized (100-999)
India,20-24,<2,"<$20,000",,,,,,,,,,,,,objective c,So happy it hurts,Mac OS X,Start Up (1-25)
Other Europe,25-29,41310,"$20,000 - $40,000",,,,,Python,,,,C++,C,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Germany,25-29,41310,"$40,000 - $60,000",,,,,Python,,,,C++,C,,,,It pays the bills,Linux,Mid Sized (100-999)
Other Europe,25-29,41310,"<$20,000",,,,,,,,,C++,C,,,,So happy it hurts,Windows 7,Mid Sized (100-999)
Other Europe,25-29,41310,"$40,000 - $60,000",,JavaScript,,,,,SQL,C#,,,,,,FML,Windows XP,Mature Small Business (25-100)
United States of America,25-29,41310,"$40,000 - $60,000",,,,,,,,C#,,C,,,,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,30-34,11,"$80,000 - $100,000",Java,,,,,,SQL,C#,C++,C,Perl,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
United Kingdom,40-50,11,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,,C#,C++,C,Perl,,,I'm not happy in my job,Linux,"Fortune 1000 (1,000+)"
United States of America,30-34,11,"$60,000 - $80,000",Java,,,,Python,,,,C++,C,,,,I enjoy going to work,Linux,Mid Sized (100-999)
United States of America,25-29,41310,"$80,000 - $100,000",Java,,,,,,,C#,C++,C,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Other Asia,30-34,41435,"$60,000 - $80,000",,,,,,,SQL,C#,,,,,,It pays the bills,Windows XP,"Other (not working, consultant, etc.)"
United States of America,25-29,41310,"$80,000 - $100,000",,,,,,,,,,C,,,,So happy it hurts,Windows XP,Mature Small Business (25-100)
Other Europe,20-24,41435,"<$20,000",Java,,,PHP,Python,,,,C++,C,,,,I'm not happy in my job,Linux,Student
Other Europe,25-29,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,So happy it hurts,Windows 7,Mid Sized (100-999)
Other Europe,30-34,41310,"$20,000 - $40,000",,,,,,,,,,C,,,,I'm not happy in my job,Linux,Start Up (1-25)
United States of America,25-29,41310,"$60,000 - $80,000",,,,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
United States of America,20-24,41310,,,,,,,,,C#,C++,,,,Java,,Windows Vista,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,"$80,000 - $100,000",,JavaScript,CSS,,,Ruby,SQL,C#,,,,,,FML,Windows 7,Mature Small Business (25-100)
United States of America,35-39,11,"$80,000 - $100,000",Java,,,,,,,,,C,Perl,,Ada,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United Kingdom,25-29,41435,"$20,000 - $40,000",,JavaScript,,PHP,,,SQL,,,C,,,,I'm not happy in my job,Mac OS X,Mature Small Business (25-100)
United States of America,25-29,11,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,Perl,,Assembler (x86 and win32),It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
United Kingdom,30-34,11,"$60,000 - $80,000",,,,,,,,,,C,,,Assembler,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Netherlands,20-24,41435,"$20,000 - $40,000",Java,,CSS,PHP,Python,,SQL,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
Other Europe,30-34,41435,"$60,000 - $80,000",,,,,,,,,,,,,rexx,I enjoy going to work,Windows Vista,"Fortune 1000 (1,000+)"
Other Europe,25-29,41435,"$60,000 - $80,000",,,,PHP,Python,,,,,C,Perl,,BASH,So happy it hurts,Linux,Start Up (1-25)
Other Europe,40-50,11,"$60,000 - $80,000",,,,,,,,,,C,Perl,,,It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,35-39,11,"$60,000 - $80,000",,,,,,,SQL,,,,,,VB,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
Canada,40-50,11,"$80,000 - $100,000",,,,,,,,,,,Perl,,,I enjoy going to work,Windows 7,Start Up (1-25)
Canada,35-39,11,"$60,000 - $80,000",,,,,,,,,,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
United States of America,25-29,41435,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,,,C,,,Bash,It pays the bills,Mac OS X,Mature Small Business (25-100)
South America,30-34,11,"$40,000 - $60,000",,,,,Python,,SQL,,,C,,,,I enjoy going to work,Linux,Mid Sized (100-999)
United States of America,25-29,41435,"$40,000 - $60,000",,,CSS,PHP,,,SQL,,,,Perl,,,I'm not happy in my job,Mac OS X,Mature Small Business (25-100)
Italy,30-34,41435,"$40,000 - $60,000",,,,,,Ruby,,,,C,,,,It pays the bills,Linux,Mid Sized (100-999)
United States of America,25-29,41310,"$60,000 - $80,000",,,,,,,,,,,,None,,So happy it hurts,Windows 7,Start Up (1-25)
Other Europe,30-34,41435,"$80,000 - $100,000",Java,JavaScript,,,Python,,,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
United States of America,25-29,41310,"$40,000 - $60,000",Java,,,,Python,,,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,20-24,41310,"<$20,000",,,CSS,,,,,C#,,C,,,,It pays the bills,Windows 7,Start Up (1-25)
Other Europe,35-39,11,"$40,000 - $60,000",Java,,,,Python,,SQL,,C++,C,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
France,20-24,41310,"$20,000 - $40,000",,,,,Python,,,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
Australasia,51-60,11,"$100,000 - $120,000",,,CSS,,,,SQL,C#,C++,,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
United Kingdom,25-29,41310,"$20,000 - $40,000",,,CSS,PHP,,,,C#,,,,,VB.NET,I enjoy going to work,Windows XP,Mid Sized (100-999)
Netherlands,35-39,11,"$40,000 - $60,000",,,CSS,PHP,,Ruby,SQL,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United Kingdom,35-39,11,"$60,000 - $80,000",,,,,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,30-34,11,"$80,000 - $100,000",,,,,,,SQL,C#,C++,,,,,I'm not happy in my job,Windows 7,Start Up (1-25)
Canada,30-34,41435,"$100,000 - $120,000",,,,,Python,,SQL,,,C,Perl,,,So happy it hurts,Linux,Start Up (1-25)
United States of America,40-50,11,"$100,000 - $120,000",,,,,,,,,,,Perl,,shell,So happy it hurts,Linux,Start Up (1-25)
United States of America,25-29,11,,,,,,,,,,,,Perl,,,I enjoy going to work,Linux,Mid Sized (100-999)
