string_field_2,string_field_3,string_field_0,string_field_100,string_field_56,string_field_57,string_field_58,string_field_59,string_field_60,string_field_61,string_field_62,string_field_63,string_field_64,string_field_65,string_field_66,string_field_67,string_field_68,string_field_69,string_field_99,string_field_81,string_field_5
30-34,11,United States of America,"$120,000 - $140,000",,,C#,Java,JavaScript,,,,,,,,,,I enjoy going to work,Windows 7,"1,000-3,000"
20-24,2/5/2013,Other Europe,"$20,000 - $40,000",,,C#,Java,JavaScript,jQuery,,,,,,,,,Love my job,Windows 7,101-999
25-29,11,United States of America,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,,Love my job,Linux,26-100
20-24,6/10/2013,Other Europe,"<$20,000",,,,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,"CoffeeScript, Bash",Love my job,Mac OS X,26-100
35-39,11,United States of America,"$120,000 - $140,000",,,,Java,JavaScript,,,,,,,,SQL,,It's a paycheck,Mac OS X,"1,000-3,000"
40-50,11,Germany,"$80,000 - $100,000",,,,,,,,,Objective-C,,,,,,I'm not happy in my job,Mac OS X,26-100
25-29,11,Other Europe,"$120,000 - $140,000",,,,Java,JavaScript,jQuery,,,Objective-C,,Python,,,,Love my job,Mac OS X,1/25/2013
25-29,2/5/2013,Other Europe,"<$20,000",C,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Linux,26-100
30-34,6/10/2013,United States of America,"$80,000 - $100,000",C,C++,,,,,,,,,,,,,I enjoy going to work,Windows 7,3001
30-34,11,Russia,"$20,000 - $40,000",,,,Java,JavaScript,,,,,PHP,Python,,SQL,Scala,Love my job,Windows 7,1/25/2013
< 20,<2,United States of America,,,,,,JavaScript,jQuery,,,Objective-C,PHP,,,,,I enjoy going to work,Mac OS X,"Other (not working, consultant, etc.)"
30-34,11,United States of America,"$120,000 - $140,000",,,,,JavaScript,jQuery,,Node.js,,PHP,Python,,,"HTML, CSS, AS3",I enjoy going to work,Mac OS X,101-999
20-24,2/5/2013,Other Europe,"$40,000 - $60,000",,,,Java,,jQuery,,,,,,,SQL,,I enjoy going to work,Mac OS X,101-999
25-29,6/10/2013,United States of America,"$20,000 - $40,000",,C++,C#,Java,JavaScript,,,,Objective-C,PHP,,,SQL,,I'm not happy in my job,Windows 7,1/25/2013
30-34,11,Netherlands,">$140,000",C,,,Java,,,,,,PHP,Python,Ruby,SQL,,Love my job,Mac OS X,3001
30-34,6/10/2013,Germany,,,,,Java,,,,,,,,,SQL,,I enjoy going to work,Windows 7,26-100
20-24,6/10/2013,Other Europe,"$60,000 - $80,000",C,,,,JavaScript,,,,,,Python,Ruby,,Perl,I'm not happy in my job,Linux,101-999
25-29,11,Other Europe,Rather not say,,,,,JavaScript,jQuery,,,,PHP,,,,,It's a paycheck,Linux,"Other (not working, consultant, etc.)"
25-29,2/5/2013,Other Europe,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 8,1/25/2013
40-50,11,United States of America,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,PHP,,,,,It's a paycheck,Windows 7,26-100
30-34,6/10/2013,India,"$20,000 - $40,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows XP,3001
25-29,2/5/2013,United States of America,"$100,000 - $120,000",C,C++,,,JavaScript,,,,Objective-C,,Python,,,"Clojure, Urbiscript, MongoDB",I enjoy going to work,Mac OS X,26-100
25-29,2/5/2013,Other Asia,Rather not say,,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows XP,101-999
25-29,6/10/2013,United States of America,"$80,000 - $100,000",,,,,JavaScript,,,,,PHP,Python,,SQL,Coldfusion,I'm not happy in my job,Windows 7,26-100
20-24,11,India,">$140,000",,,,,,,,,,,,,,brainfuck,Love my job,Windows 8,"Other (not working, consultant, etc.)"
< 20,<2,South America,,,,,,,,,,,,,,,,,,1/25/2013
20-24,2/5/2013,Netherlands,,,,C#,,,jQuery,,,,PHP,,,SQL,,,Windows 7,1/25/2013
40-50,11,Other Europe,"$20,000 - $40,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,1/25/2013
25-29,6/10/2013,United Kingdom,,,C++,C#,Java,,,,,Objective-C,,,,,,,Windows 7,26-100
25-29,2/5/2013,Other Europe,"$40,000 - $60,000",,,C#,,,,,,,,,,,,I enjoy going to work,Windows 7,101-999
25-29,6/10/2013,India,,C,,,Java,,,,,Objective-C,PHP,,,,,,Windows 7,1/25/2013
40-50,11,United States of America,,,,,Java,JavaScript,jQuery,,,,,,,SQL,,,Windows 7,3001
20-24,2/5/2013,Other Europe,"$60,000 - $80,000",,,,Java,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,Love my job,Windows 7,101-999
25-29,6/10/2013,United States of America,"$40,000 - $60,000",C,C++,C#,,JavaScript,jQuery,,,Objective-C,,Python,,SQL,,Hate my job,Mac OS X,1/25/2013
25-29,6/10/2013,Canada,"<$20,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Mac OS X,26-100
30-34,6/10/2013,United States of America,">$140,000",,C++,,Java,,,,,,,,,SQL,,Love my job,Linux,3001
40-50,11,Other Europe,Rather not say,C,C++,,Java,JavaScript,jQuery,,,,,Python,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
25-29,6/10/2013,Germany,"$40,000 - $60,000",,,C#,,,,,,,,,,SQL,WPF,I enjoy going to work,Windows 7,26-100
40-50,11,United States of America,"$80,000 - $100,000",,,,,JavaScript,,,,Objective-C,,,,SQL,,Love my job,Mac OS X,101-999
51-60,11,United States of America,"$100,000 - $120,000",,C++,C#,,,,,,,,,,,,I enjoy going to work,Windows 7,3001
25-29,11,United States of America,">$140,000",C,,,,JavaScript,jQuery,JQuery,,,PHP,Python,,SQL,,Love my job,Mac OS X,3001
35-39,11,South America,">$140,000",C,C++,C#,,,,,Node.js,Objective-C,PHP,Python,,,,I enjoy going to work,Mac OS X,26-100
20-24,11,Germany,Student / Unemployed,,,C#,Java,JavaScript,,,Node.js,,PHP,Python,,SQL,,It's a paycheck,Windows 7,1/25/2013
30-34,11,Germany,"$20,000 - $40,000",,,C#,,,,,,,,,,,Delphi,I enjoy going to work,Windows 7,26-100
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,,Java,,,,,,,Python,,,,I wish I had a job!,Linux,3001
25-29,11,United States of America,"$60,000 - $80,000",,,,,,,,,,,,,SQL,VB.Net,I enjoy going to work,Windows 7,3001
25-29,2/5/2013,Other Europe,"$20,000 - $40,000",,C++,,Java,JavaScript,,,,,,Python,Ruby,,,I enjoy going to work,Windows 7,101-999
25-29,2/5/2013,Other Europe,"$20,000 - $40,000",C,,C#,Java,,,,,Objective-C,,,,SQL,XML,I enjoy going to work,Windows 7,101-999
30-34,11,India,"$20,000 - $40,000",C,C++,C#,,,,,,Objective-C,,,,,,I enjoy going to work,Mac OS X,26-100
30-34,11,Other Europe,"$100,000 - $120,000",C,C++,C#,Java,,,,,Objective-C,,,,,,Love my job,Mac OS X,1/25/2013
25-29,6/10/2013,United States of America,"$60,000 - $80,000",C,C++,C#,,JavaScript,jQuery,,,Objective-C,PHP,,,SQL,,It's a paycheck,Mac OS X,1/25/2013
20-24,2/5/2013,Other Europe,"$20,000 - $40,000",,,,,,,,,Objective-C,,,,,,I enjoy going to work,Mac OS X,1/25/2013
20-24,2/5/2013,Canada,Rather not say,C,,,Java,,,,,Objective-C,,,,SQL,,I'm not happy in my job,Mac OS X,1/25/2013
25-29,2/5/2013,United Kingdom,"$40,000 - $60,000",C,,,,,,,,,,Python,,,Shell,I enjoy going to work,Windows 7,101-999
25-29,6/10/2013,United States of America,"$60,000 - $80,000",,C++,,Java,JavaScript,jQuery,,,,PHP,,Ruby,,,I'm not happy in my job,Linux,26-100
35-39,11,Australasia,"$100,000 - $120,000",,,C#,,JavaScript,jQuery,,,,,,Ruby,SQL,,I enjoy going to work,Mac OS X,101-999
< 20,2/5/2013,United States of America,Student / Unemployed,,,,,JavaScript,,,,Objective-C,PHP,,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
51-60,11,United States of America,Rather not say,,C++,,Java,JavaScript,jQuery,,,,,,,SQL,hibernate,Love my job,Windows 7,26-100
25-29,11,United States of America,Rather not say,,,C#,,JavaScript,jQuery,,,,,,Ruby,SQL,,Love my job,Windows 8,26-100
20-24,2/5/2013,Germany,Student / Unemployed,,,,,JavaScript,jQuery,,,,PHP,,Ruby,,Scala / Typesafe Stack,I enjoy going to work,Mac OS X,1/25/2013
25-29,6/10/2013,United States of America,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,,Python,,SQL,,I enjoy going to work,Windows XP,3001
30-34,6/10/2013,India,"$20,000 - $40,000",,,,,JavaScript,,JQuery,,,,,Ruby,SQL,,I enjoy going to work,Linux,26-100
25-29,6/10/2013,India,"<$20,000",C,C++,C#,Java,JavaScript,jQuery,,,Objective-C,PHP,,,,,Love my job,Mac OS X,1/25/2013
40-50,11,United States of America,">$140,000",,C++,C#,Java,JavaScript,jQuery,,Node.js,Objective-C,,Python,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
25-29,6/10/2013,Russia,"$40,000 - $60,000",,,C#,Java,JavaScript,jQuery,,,Objective-C,,,,,,I enjoy going to work,Windows 7,101-999
40-50,6/10/2013,United States of America,"$120,000 - $140,000",,,C#,Java,JavaScript,,,,,,,,SQL,,I enjoy going to work,Linux,3001
20-24,2/5/2013,South America,,C,C++,,Java,,jQuery,JQuery,,,,Python,Ruby,SQL,,,Linux,1/25/2013
25-29,2/5/2013,India,"$100,000 - $120,000",,,,Java,JavaScript,jQuery,,Node.js,,PHP,Python,Ruby,,,Love my job,Mac OS X,"1,000-3,000"
30-34,11,Other Europe,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,,,SQL,,I enjoy going to work,Linux,26-100
30-34,11,United States of America,,,,,Java,JavaScript,jQuery,,,,,Python,,SQL,,,Linux,3001
25-29,6/10/2013,United States of America,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Other,1/25/2013
20-24,6/10/2013,South America,"$40,000 - $60,000",,,C#,Java,JavaScript,jQuery,,,,,Python,,SQL,,It's a paycheck,Windows 7,26-100
30-34,6/10/2013,United States of America,"$60,000 - $80,000",,,,Java,,,,,,,,Ruby,,,Love my job,Mac OS X,1/25/2013
35-39,11,Italy,,,,,Java,,,,,Objective-C,,,,SQL,,It's a paycheck,Mac OS X,101-999
30-34,6/10/2013,Other Asia,,C,,,,,,,,,,,,,,,Windows 7,101-999
35-39,11,Italy,"$40,000 - $60,000",,,,Java,JavaScript,jQuery,,,,,,,,,I'm not happy in my job,Windows 7,3001
30-34,11,United States of America,Rather not say,,C++,C#,,,,,,,,Python,,,,Love my job,Windows 7,3001
40-50,11,France,"<$20,000",C,C++,C#,Java,JavaScript,jQuery,,,Objective-C,PHP,Python,,SQL,,Love my job,Windows 7,1/25/2013
25-29,2/5/2013,United States of America,"$80,000 - $100,000",,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Mac OS X,3001
20-24,2/5/2013,Canada,"$40,000 - $60,000",,C++,,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,"CSS, AJAX, JSON",Love my job,Mac OS X,1/25/2013
35-39,11,United States of America,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,3001
20-24,<2,Canada,"$40,000 - $60,000",,,C#,,,,,,,PHP,Python,,SQL,Visual Basic,I'm not happy in my job,Linux,3001
40-50,11,United States of America,"$100,000 - $120,000",,,,Java,JavaScript,jQuery,,,,,Python,,SQL,,It's a paycheck,Windows 7,26-100
30-34,6/10/2013,United Kingdom,"$40,000 - $60,000",,,,,,jQuery,,,,,,,,OpenEdge,I enjoy going to work,Windows 7,26-100
25-29,<2,Other Europe,"<$20,000",,,,,JavaScript,,,,Objective-C,,,,SQL,Visual Basic,I enjoy going to work,Mac OS X,26-100
30-34,11,United States of America,">$140,000",,,C#,,,jQuery,,,,,,,,,Love my job,Windows 8,101-999
25-29,2/5/2013,United States of America,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,,,Ruby,,,It's a paycheck,Mac OS X,101-999
25-29,6/10/2013,United States of America,"$40,000 - $60,000",,,C#,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,,I enjoy going to work,Mac OS X,1/25/2013
35-39,6/10/2013,Canada,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
30-34,11,United States of America,Rather not say,C,,C#,Java,JavaScript,jQuery,,,Objective-C,,Python,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
20-24,2/5/2013,United States of America,Student / Unemployed,,,,,JavaScript,jQuery,,Node.js,,PHP,Python,Ruby,SQL,Clojure,I'm not happy in my job,Linux,"Other (not working, consultant, etc.)"
30-34,6/10/2013,Australia,"$100,000 - $120,000",,,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
25-29,6/10/2013,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,Python,,SQL,,Love my job,Mac OS X,3001
25-29,11,Other Europe,Rather not say,C,C++,,,JavaScript,jQuery,,,Objective-C,PHP,,,,,Love my job,Mac OS X,1/25/2013
20-24,<2,India,,,,,Java,,,,,,,,,,,It's a paycheck,Windows 7,3001
30-34,6/10/2013,United States of America,"$60,000 - $80,000",,,,,,,,,Objective-C,,,,,,Love my job,Mac OS X,101-999
25-29,<2,India,"<$20,000",,,,Java,,,,,,PHP,,,SQL,R,I'm not happy in my job,Windows 7,1/25/2013
30-34,6/10/2013,United States of America,"$80,000 - $100,000",,,,,,,,,,,,,,,Love my job,Mac OS X,3001
40-50,11,Other Asia,"$60,000 - $80,000",,,,,,,,,,,,,,SAS,Love my job,Windows XP,3001
40-50,11,United States of America,">$140,000",,,,Java,JavaScript,jQuery,,,Objective-C,PHP,,Ruby,SQL,,I enjoy going to work,Mac OS X,3001
35-39,11,Middle East,"$100,000 - $120,000",C,C++,,Java,JavaScript,jQuery,,Node.js,Objective-C,,Python,,SQL,,I wish I had a job!,Mac OS X,1/25/2013
20-24,2/5/2013,India,Rather not say,,,C#,Java,JavaScript,jQuery,,,,,,,,,It's a paycheck,Windows 7,3001
20-24,6/10/2013,United States of America,"$100,000 - $120,000",,,,Java,JavaScript,jQuery,,,,PHP,Python,,SQL,,Love my job,Mac OS X,"1,000-3,000"
30-34,11,United States of America,"$60,000 - $80,000",,C++,C#,,JavaScript,jQuery,JQuery,Node.js,Objective-C,,,,SQL,,I enjoy going to work,Windows 8,26-100
40-50,11,United Kingdom,"$80,000 - $100,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,I enjoy going to work,Linux,1/25/2013
30-34,2/5/2013,United States of America,"$40,000 - $60,000",,,,,JavaScript,,,,,,,,SQL,flash actionscript :(,I enjoy going to work,Linux,3001
20-24,6/10/2013,United States of America,"$80,000 - $100,000",,,,Java,JavaScript,jQuery,,,,,Python,,,,I enjoy going to work,Mac OS X,26-100
30-34,11,India,Rather not say,,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,"Groovy, Grails",Love my job,Windows 7,26-100
25-29,6/10/2013,United States of America,Student / Unemployed,,,,,,,,,,,Python,,,R,It's a paycheck,Windows 7,"Other (not working, consultant, etc.)"
< 20,2/5/2013,Other Europe,Student / Unemployed,,,,,JavaScript,,,,,PHP,Python,,,,I wish I had a job!,Mac OS X,"Other (not working, consultant, etc.)"
20-24,2/5/2013,India,"$20,000 - $40,000",C,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Linux,3001
20-24,2/5/2013,Russia,"$20,000 - $40,000",C,C++,,,,,,,,,Python,,SQL,,I enjoy going to work,Linux,3001
20-24,2/5/2013,Other Europe,"<$20,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 7,1/25/2013
20-24,2/5/2013,Other Asia,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,,,Ruby,SQL,,I enjoy going to work,Linux,1/25/2013
20-24,6/10/2013,Other Europe,Rather not say,,,C#,,JavaScript,jQuery,,,Objective-C,,,Ruby,SQL,,Love my job,Mac OS X,1/25/2013
35-39,6/10/2013,United States of America,"$60,000 - $80,000",,,,,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,I enjoy going to work,Mac OS X,26-100
30-34,6/10/2013,Other Europe,"$20,000 - $40,000",,,,Java,,,,,,,,,SQL,Prolog and Scala,I enjoy going to work,Mac OS X,101-999
35-39,11,North America (Other),"$80,000 - $100,000",,,,,JavaScript,,,,Objective-C,PHP,,,SQL,,It's a paycheck,Mac OS X,1/25/2013
35-39,6/10/2013,United Kingdom,"$60,000 - $80,000",,C++,,,,,,,Objective-C,,Python,,,,I enjoy going to work,Windows 7,101-999
20-24,2/5/2013,Other Asia,Student / Unemployed,,,,Java,,,,,Objective-C,,,Ruby,,,I enjoy going to work,Mac OS X,26-100
20-24,2/5/2013,South America,"<$20,000",,,,Java,JavaScript,jQuery,,,Objective-C,PHP,,,,,I enjoy going to work,Windows 7,1/25/2013
30-34,11,Africa,"$60,000 - $80,000",,,,,,,,,,,,,,Actionscript,I enjoy going to work,Mac OS X,26-100
30-34,6/10/2013,South America,Rather not say,,,,,JavaScript,,,,,,Python,,,google app engine,I enjoy going to work,Mac OS X,1/25/2013
< 20,2/5/2013,South America,"<$20,000",C,C++,,Java,JavaScript,,,,,PHP,,,SQL,,I enjoy going to work,Linux,"1,000-3,000"
20-24,<2,India,,,,,,,,,,,,,,,,,,1/25/2013
25-29,6/10/2013,Africa,,,,C#,Java,,,,,,,,,,,,Windows 7,101-999
30-34,11,Other Europe,Rather not say,,,,Java,JavaScript,jQuery,JQuery,,,PHP,,,SQL,,It's a paycheck,Windows 7,1/25/2013
25-29,6/10/2013,United States of America,"$40,000 - $60,000",,,,Java,JavaScript,jQuery,,,Objective-C,,,,SQL,,It's a paycheck,Windows 7,3001
25-29,2/5/2013,United States of America,">$140,000",,,,,JavaScript,jQuery,JQuery,Node.js,,,,,,,Love my job,Mac OS X,26-100
30-34,2/5/2013,India,Rather not say,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Windows 8,26-100
20-24,6/10/2013,Canada,Rather not say,,,,,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,Love my job,Windows 7,26-100
30-34,6/10/2013,United States of America,">$140,000",,,,Java,,,,,,,,,SQL,proprietary,It's a paycheck,Windows 7,3001
30-34,11,South America,"<$20,000",,,,Java,,,,,Objective-C,,,,,,It's a paycheck,Mac OS X,1/25/2013
40-50,11,United States of America,"$60,000 - $80,000",,,C#,,,,,,,,,,SQL,,I'm not happy in my job,Windows 7,101-999
40-50,11,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,,,Node.js,,,,Ruby,,,Love my job,Windows 7,101-999
30-34,6/10/2013,United States of America,"$60,000 - $80,000",,,,,JavaScript,jQuery,,,,PHP,,,,,I enjoy going to work,Windows 7,26-100
30-34,11,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 8,1/25/2013
30-34,6/10/2013,Other Europe,"$20,000 - $40,000",,,C#,,JavaScript,jQuery,JQuery,,,,,,SQL,,I enjoy going to work,Windows 7,26-100
30-34,<2,Other Europe,"$40,000 - $60,000",,,C#,Java,,,,,,,,,,,It's a paycheck,Windows 7,101-999
40-50,11,Australasia,,,C++,C#,,,,,,Objective-C,,Python,,SQL,,It's a paycheck,Windows 7,101-999
20-24,2/5/2013,United Kingdom,"$40,000 - $60,000",,,C#,Java,,,,,Objective-C,,,,,,Love my job,Mac OS X,1/25/2013
< 20,2/5/2013,United States of America,Rather not say,C,C++,,Java,JavaScript,jQuery,,,Objective-C,,,,SQL,,I enjoy going to work,Mac OS X,1/25/2013
30-34,11,United States of America,"$100,000 - $120,000",,,,,,,,,,PHP,,,,Perl,Love my job,Mac OS X,101-999
25-29,6/10/2013,United States of America,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 7,1/25/2013
35-39,11,United States of America,">$140,000",,,,Java,,jQuery,,,Objective-C,,,,SQL,,Love my job,Mac OS X,26-100
35-39,11,United States of America,">$140,000",,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,26-100
40-50,11,Other Europe,Rather not say,C,C++,,Java,,,,,,,,,SQL,make,I enjoy going to work,Mac OS X,3001
< 20,<2,Other Asia,Student / Unemployed,C,C++,C#,Java,JavaScript,jQuery,,,,PHP,Python,,SQL,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
30-34,6/10/2013,Other Europe,"$40,000 - $60,000",,C++,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,3001
20-24,<2,Other Europe,Rather not say,C,C++,C#,Java,,,,,,,Python,,,,It's a paycheck,Windows 8,"1,000-3,000"
30-34,6/10/2013,Netherlands,"<$20,000",,,C#,Java,,,,,Objective-C,,,,,,I enjoy going to work,Mac OS X,1/25/2013
35-39,11,United States of America,"$120,000 - $140,000",,,C#,,,,,,,,,,SQL,,I enjoy going to work,Windows XP,3001
30-34,11,Africa,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 8,101-999
< 20,2/5/2013,Germany,Student / Unemployed,C,C++,,,JavaScript,jQuery,,,Objective-C,PHP,,,SQL,,Love my job,Mac OS X,1/25/2013
25-29,2/5/2013,Other Europe,"<$20,000",,,,Java,JavaScript,jQuery,,Node.js,,,,,,,I enjoy going to work,Windows 7,101-999
30-34,6/10/2013,Germany,"$80,000 - $100,000",,,,Java,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Linux,3001
35-39,11,Australia,"$100,000 - $120,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,It's a paycheck,Windows 7,26-100
30-34,11,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,Node.js,,,,,SQL,,I enjoy going to work,Windows 8,1/25/2013
25-29,2/5/2013,United States of America,"$60,000 - $80,000",,,C#,,JavaScript,jQuery,JQuery,,,,,,SQL,,Love my job,Windows 7,101-999
20-24,2/5/2013,Africa,"<$20,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,Drupal,I enjoy going to work,Windows 7,26-100
30-34,11,United States of America,Rather not say,,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
25-29,2/5/2013,United States of America,"$40,000 - $60,000",,,C#,Java,JavaScript,jQuery,,,,,,,SQL,MongoDB,I enjoy going to work,Windows 7,101-999
30-34,11,United States of America,"$100,000 - $120,000",,,C#,,JavaScript,jQuery,JQuery,,,,,,SQL,,I enjoy going to work,Windows 7,26-100
35-39,11,Middle East,"$20,000 - $40,000",,,C#,,JavaScript,jQuery,,,Objective-C,PHP,,,SQL,"VB.NET, ASPX",Love my job,Windows 7,26-100
30-34,11,Other Europe,"$120,000 - $140,000",C,C++,,,,,,,,,,,,,I enjoy going to work,Windows 7,3001
35-39,11,United Kingdom,"$100,000 - $120,000",,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,It's a paycheck,Windows 7,3001
20-24,2/5/2013,Other Asia,,,,,Java,JavaScript,jQuery,,,,PHP,Python,,SQL,,,Windows 7,101-999
30-34,2/5/2013,Other Europe,"$20,000 - $40,000",,,,Java,JavaScript,jQuery,,,,,Python,,SQL,,It's a paycheck,Windows XP,101-999
30-34,2/5/2013,Germany,,,,C#,,,,,,,,,,SQL,,,Windows 7,1/25/2013
20-24,2/5/2013,Australasia,,,,,Java,JavaScript,,,,Objective-C,,,Ruby,SQL,,,Mac OS X,1/25/2013
35-39,11,Canada,">$140,000",,,C#,,JavaScript,jQuery,,,Objective-C,PHP,,Ruby,SQL,,I enjoy going to work,Windows 7,101-999
40-50,2/5/2013,Other Europe,,C,,,,JavaScript,jQuery,,,,PHP,Python,,,,,Mac OS X,1/25/2013
25-29,6/10/2013,Other Europe,,,,,,JavaScript,jQuery,,Node.js,,PHP,,,,,,Mac OS X,26-100
40-50,11,Other Europe,"<$20,000",,,,,JavaScript,jQuery,,,,,,Ruby,SQL,,I wish I had a job!,Linux,1/25/2013
20-24,<2,Other Europe,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,Objective-C,PHP,,,,,Love my job,Mac OS X,1/25/2013
20-24,2/5/2013,France,"$20,000 - $40,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,I enjoy going to work,Linux,1/25/2013
25-29,2/5/2013,Other Europe,"$20,000 - $40,000",,,,,,jQuery,,,Objective-C,PHP,,,SQL,,I'm not happy in my job,Mac OS X,1/25/2013
35-39,11,Other Europe,"<$20,000",,,,,,,,,,,,,SQL,Delphi,I enjoy going to work,Windows 7,26-100
25-29,6/10/2013,Germany,"$20,000 - $40,000",C,C++,,,,jQuery,,,Objective-C,PHP,Python,Ruby,SQL,assembler,It's a paycheck,Mac OS X,101-999
25-29,2/5/2013,Germany,"$40,000 - $60,000",,,C#,,,,,,,,,,,,It's a paycheck,Windows 7,101-999
25-29,2/5/2013,Russia,"<$20,000",,,C#,,,,,,Objective-C,,,,,,Love my job,Mac OS X,26-100
30-34,11,Germany,"$80,000 - $100,000",,,,,,,,,Objective-C,,Python,,,,Love my job,Mac OS X,1/25/2013
40-50,11,Germany,,,,C#,,,,,,Objective-C,,,,,,Love my job,Mac OS X,1/25/2013
30-34,11,United States of America,"$120,000 - $140,000",,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,It's a paycheck,Windows 8,3001
40-50,11,Germany,"$80,000 - $100,000",,,,Java,JavaScript,jQuery,,,,,,Ruby,,,I enjoy going to work,Windows 7,3001
< 20,2/5/2013,India,Student / Unemployed,,,,Java,,,,,,,,,SQL,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
20-24,2/5/2013,United States of America,"$40,000 - $60,000",,,,,JavaScript,jQuery,,,Objective-C,,,,SQL,Perl,I enjoy going to work,Mac OS X,1/25/2013
30-34,11,United States of America,"$100,000 - $120,000",,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,Love my job,Windows 7,26-100
30-34,6/10/2013,South America,"$40,000 - $60,000",,C++,,Java,JavaScript,jQuery,,,,,,,SQL,,I'm not happy in my job,Windows XP,3001
40-50,11,United States of America,Rather not say,,,,Java,JavaScript,jQuery,,,,,,,SQL,AngularJS,I enjoy going to work,Windows 7,3001
35-39,11,United Kingdom,,,,,,,,,,Objective-C,,,,,,I enjoy going to work,Windows XP,1/25/2013
30-34,11,Other Europe,"$20,000 - $40,000",,,C#,,,,,,,,,,,Delphi,I'm not happy in my job,Windows 7,1/25/2013
30-34,2/5/2013,United States of America,"$60,000 - $80,000",,,C#,Java,,,,,Objective-C,PHP,,,SQL,,I enjoy going to work,Windows 8,1/25/2013
25-29,6/10/2013,Africa,Rather not say,,,,Java,JavaScript,jQuery,,Node.js,,PHP,Python,,SQL,,I enjoy going to work,Linux,1/25/2013
25-29,11,Germany,"$80,000 - $100,000",C,C++,,,JavaScript,jQuery,,,,,Python,,,Perl,I enjoy going to work,Linux,"1,000-3,000"
40-50,6/10/2013,United States of America,"$80,000 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,I enjoy going to work,Windows 7,101-999
25-29,6/10/2013,Other Asia,Rather not say,,C++,C#,Java,JavaScript,jQuery,,,Objective-C,PHP,,,SQL,,I enjoy going to work,Windows 7,26-100
25-29,2/5/2013,India,Rather not say,,,C#,,JavaScript,jQuery,JQuery,,,,,,SQL,,I enjoy going to work,Windows 8,26-100
