string_field_2,string_field_3,string_field_0,string_field_39,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_38,string_field_37,string_field_5
25-29,40944,Germany,"$40,000 - $60,000",Java,,,,,Objective-C,,,,,,,,,Smalltalk,I enjoy going to work,Mac OS X,Start Up (1-25)
30-34,11,United States of America,Rather not say,,JavaScript,,PHP,Python,,,SQL,,,,,,,,Love my job,Linux,Mid Sized (100-999)
25-29,11,Other Asia,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,,C,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
40-50,11,United States of America,">$140,000",Java,,,,,,,,,C++,,,,,"scala, groovy",I enjoy going to work,Windows 7,Mid Sized (100-999)
30-34,11,Italy,"$40,000 - $60,000",,JavaScript,,,,,,SQL,C#,C++,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
25-29,41070,France,,Java,JavaScript,CSS,,Python,,Ruby,SQL,,C++,C,Perl,HTML5,,,Its a paycheck,Linux,Start Up (1-25)
35-39,11,United States of America,"$100,000 - $120,000",,,,,,,,SQL,,,C,,,,RPG,I enjoy going to work,Mac OS X,Mid Sized (100-999)
30-34,11,Netherlands,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,,C,Perl,HTML5,,,I enjoy going to work,Windows Vista,Start Up (1-25)
40-50,11,South America,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,C,,HTML5,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
25-29,11,United States of America,"$120,000 - $140,000",Java,JavaScript,CSS,,Python,,,,C#,C++,,,HTML5,,,Love my job,Mac OS X,Start Up (1-25)
20-24,41070,United States of America,"$80,000 - $100,000",Java,JavaScript,,,,Objective-C,,SQL,C#,,,,HTML5,,,Love my job,Mac OS X,Mature Small Business (25-100)
25-29,40944,South America,"<$20,000",Java,JavaScript,CSS,,,,,SQL,,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
30-34,41070,Australasia,"$40,000 - $60,000",Java,JavaScript,CSS,,,,,SQL,,,,,,,,Love my job,Linux,Mid Sized (100-999)
30-34,40944,Other Asia,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
20-24,40944,Australasia,"$20,000 - $40,000",Java,JavaScript,CSS,,,,Ruby,SQL,C#,,,,,,Coldfusion,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,40944,Other Europe,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,C,,HTML5,,"XTEND, ATL",I'm not happy in my job,Linux,Mature Small Business (25-100)
20-24,<2,Other Europe,Rather not say,,,,,,,,,,C++,C,,,,,Its a paycheck,Windows XP,Mid Sized (100-999)
20-24,41070,India,Rather not say,Java,,,,,,,,C#,C++,,,,,,Love my job,Linux,Mid Sized (100-999)
51-60,11,United Kingdom,"$100,000 - $120,000",,,,,,,,SQL,C#,,,,,,,Its a paycheck,Windows 7,"Other (not working, consultant, etc.)"
25-29,41070,Other Europe,Rather not say,Java,JavaScript,,,Python,,,,,,,,,,"C#, C derivatives (C, C++, Objective C)",Love my job,Linux,Mid Sized (100-999)
30-34,41070,United States of America,"$60,000 - $80,000",Java,,,,,,,,,,,,,,,I'm not happy in my job,Windows XP,Mid Sized (100-999)
25-29,41070,United States of America,"$40,000 - $60,000",,JavaScript,CSS,,,,,SQL,C#,C++,,,,,,Its a paycheck,Windows 7,Mid Sized (100-999)
25-29,40944,United States of America,"$60,000 - $80,000",Java,,,PHP,,,,SQL,,,,,,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
20-24,40944,United Kingdom,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,C,,HTML5,,,I'm not happy in my job,Windows 7,Mature Small Business (25-100)
25-29,41070,Australia,Rather not say,,JavaScript,CSS,PHP,,Objective-C,Ruby,SQL,,,C,,HTML5,,,Love my job,Mac OS X,Start Up (1-25)
30-34,41070,Canada,"$40,000 - $60,000",Java,JavaScript,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
30-34,11,United States of America,"$100,000 - $120,000",Java,JavaScript,CSS,,,,Ruby,,C#,C++,C,,HTML5,,,Its a paycheck,Mac OS X,Mid Sized (100-999)
40-50,11,Other Europe,Rather not say,Java,,,,,,,SQL,,C++,C,,,,scala,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
25-29,41070,United States of America,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,,,,,HTML5,,,Love my job,Mac OS X,Mature Small Business (25-100)
20-24,<2,India,"$20,000 - $40,000",,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows XP,"Other (not working, consultant, etc.)"
30-34,11,Germany,"$100,000 - $120,000",,JavaScript,CSS,,,,,,C#,,,,HTML5,,,I'm not happy in my job,Windows 7,Mid Sized (100-999)
30-34,11,United Kingdom,">$140,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,41070,India,"<$20,000",,JavaScript,CSS,,,,,SQL,,,,,HTML5,,Coldfusion,Love my job,Windows 7,Mature Small Business (25-100)
20-24,<2,India,"<$20,000",Java,,,,,Objective-C,,SQL,,,,,,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
20-24,<2,Russia,"<$20,000",,,CSS,,,,,,,,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
30-34,11,United States of America,"$100,000 - $120,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
20-24,40944,United States of America,"$60,000 - $80,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
35-39,40944,United States of America,"$80,000 - $100,000",,,,,,,,SQL,,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
20-24,40944,Other Europe,"<$20,000",Java,JavaScript,,,,,,SQL,,,,,,,,Love my job,Windows XP,Mature Small Business (25-100)
30-34,41070,Bangladesh,"<$20,000",,JavaScript,CSS,,,Objective-C,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
30-34,11,Africa,"$80,000 - $100,000",,JavaScript,CSS,,,,,SQL,C#,C++,C,,HTML5,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
20-24,41070,Other Europe,"<$20,000",Java,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,I enjoy going to work,Linux,Start Up (1-25)
25-29,40944,Other Europe,"<$20,000",Java,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,41070,United States of America,"$40,000 - $60,000",,JavaScript,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
30-34,41070,Other Europe,"$40,000 - $60,000",,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,,I enjoy going to work,Linux,Start Up (1-25)
25-29,40944,United States of America,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,,,SQL,,,,Perl,HTML5,,,I enjoy going to work,Linux,Mid Sized (100-999)
35-39,11,United Kingdom,Rather not say,,,,,,,,,C#,,,,,,,I'm not happy in my job,Windows 7,Start Up (1-25)
20-24,40944,Other Asia,"<$20,000",Java,,,,,,,SQL,C#,,,,,,ActionScript,Love my job,Windows 7,Mid Sized (100-999)
20-24,40944,India,"<$20,000",Java,JavaScript,,,,,,,,,,,,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
30-34,40944,Canada,"$40,000 - $60,000",,JavaScript,CSS,,,,,SQL,C#,C++,C,,,,,Its a paycheck,Windows 7,Mid Sized (100-999)
25-29,40944,Other Europe,Rather not say,,JavaScript,CSS,,,,,SQL,C#,,C,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
20-24,40944,United Kingdom,"$40,000 - $60,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Love my job,Windows 7,Mature Small Business (25-100)
25-29,41070,India,"$20,000 - $40,000",Java,,,,,,,,,C++,C,,,,,I enjoy going to work,Linux,Mature Small Business (25-100)
20-24,40944,North America (Other),"$80,000 - $100,000",Java,JavaScript,,,Python,,Ruby,,,C++,C,Perl,,,"VB.NET, Bash, and Emacs Lisp",Hate my job,Windows XP,Mature Small Business (25-100)
30-34,41070,Other Europe,"$20,000 - $40,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,11,United Kingdom,"$40,000 - $60,000",,,CSS,,,,,,C#,C++,C,,HTML5,,,Love my job,Windows 7,Start Up (1-25)
25-29,41070,Other Asia,"<$20,000",,JavaScript,CSS,PHP,Python,,Ruby,SQL,C#,,,,,,VB,Love my job,Windows 7,Mature Small Business (25-100)
35-39,41070,United States of America,,,JavaScript,CSS,,,,,,C#,,,,HTML5,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
25-29,11,United States of America,"$80,000 - $100,000",,,CSS,PHP,Python,,,SQL,,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
35-39,11,United States of America,Rather not say,,,,,,,,,,,,,,,,Its a paycheck,Linux,"Fortune 1000 (1,000+)"
30-34,41070,France,"$40,000 - $60,000",Java,JavaScript,,,Python,,,,C#,,C,,,,,Its a paycheck,Linux,"Fortune 1000 (1,000+)"
30-34,41070,Russia,"$20,000 - $40,000",,,,,,,,,C#,C++,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,41070,United States of America,"$80,000 - $100,000",,JavaScript,CSS,,,,,SQL,C#,,,,,,,Love my job,Windows 7,Mature Small Business (25-100)
30-34,40944,Australia,"$40,000 - $60,000",,,CSS,,,,,SQL,C#,,,,,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
30-34,11,Netherlands,"$60,000 - $80,000",,,,,,,,,C#,C++,,Perl,,,,I enjoy going to work,Other,Mature Small Business (25-100)
30-34,<2,France,Rather not say,,JavaScript,,,,,,SQL,C#,,,,HTML5,,,Love my job,Windows XP,Mature Small Business (25-100)
25-29,11,Other Asia,"<$20,000",Java,JavaScript,CSS,,Python,,Ruby,,,,C,,HTML5,,,I enjoy going to work,Linux,Start Up (1-25)
20-24,41070,United States of America,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,Python,,,SQL,C#,C++,C,,HTML5,,,Its a paycheck,Linux,"Fortune 1000 (1,000+)"
40-50,40944,United States of America,Rather not say,,JavaScript,CSS,PHP,,Objective-C,,,,,,,HTML5,,,Hate my job,Mac OS X,"Fortune 1000 (1,000+)"
25-29,41070,Other Europe,"$20,000 - $40,000",,,,,Python,,,,,C++,C,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
25-29,41070,United States of America,"$80,000 - $100,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,VB,I enjoy going to work,Mac OS X,Mid Sized (100-999)
30-34,41070,Other Asia,Rather not say,,JavaScript,,PHP,Python,,,SQL,,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
35-39,11,United States of America,"$20,000 - $40,000",Java,,,,,,,,,C++,,Perl,,,Matlab,I enjoy going to work,Linux,Student
20-24,<2,India,Rather not say,,,,,Python,,,SQL,,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
25-29,40944,India,Rather not say,Java,,,,,,,,,C++,C,,,,,Its a paycheck,Windows 7,Mature Small Business (25-100)
25-29,41070,Africa,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,,,SQL,C#,C++,C,,HTML5,,,Love my job,Windows 7,Mid Sized (100-999)
30-34,11,United Kingdom,Rather not say,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I wish I had a job!,Windows 7,Mid Sized (100-999)
< 20,11,Russia,"$20,000 - $40,000",,JavaScript,CSS,,Python,,Ruby,,,,,,HTML5,,,Its a paycheck,Linux,Start Up (1-25)
25-29,40944,United States of America,"$80,000 - $100,000",,,,,,,,,C#,C++,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
20-24,40944,Other Europe,"$40,000 - $60,000",,,,,,Objective-C,,,,,,,,,,Its a paycheck,Mac OS X,Start Up (1-25)
20-24,40944,India,"<$20,000",Java,,,,,,,,,C++,C,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
20-24,<2,Russia,Rather not say,,,,,Python,,,,C#,,,,,,,I enjoy going to work,Windows XP,Mature Small Business (25-100)
30-34,11,Other Europe,Rather not say,Java,,,,,Objective-C,,SQL,C#,C++,C,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
30-34,11,United Kingdom,"$60,000 - $80,000",Java,,,,Python,,,SQL,C#,C++,C,,,,,I enjoy going to work,Other,"Fortune 1000 (1,000+)"
25-29,40944,United Kingdom,"$40,000 - $60,000",,,CSS,PHP,Python,,,SQL,C#,,,,,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
30-34,41070,Other Europe,"<$20,000",,JavaScript,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
30-34,41070,Other Europe,"$100,000 - $120,000",,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,,,,,Its a paycheck,Linux,Mature Small Business (25-100)
20-24,40944,United States of America,"<$20,000",,JavaScript,CSS,PHP,Python,,Ruby,SQL,C#,C++,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
20-24,40944,Other Asia,Student / Unemployed,Java,,CSS,,,,,SQL,,C++,C,,HTML5,,,Love my job,Windows 7,Start Up (1-25)
40-50,41070,Australia,"$80,000 - $100,000",Java,,,,,,,SQL,C#,,,,,,Visual Basic,I enjoy going to work,Windows 7,Mature Small Business (25-100)
20-24,40944,United States of America,Rather not say,Java,JavaScript,,PHP,,Objective-C,,,,C++,,,,,,I enjoy going to work,Linux,Start Up (1-25)
25-29,40944,South America,"<$20,000",,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows Vista,Mature Small Business (25-100)
25-29,40944,Other Europe,"$20,000 - $40,000",,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
40-50,11,United States of America,"$100,000 - $120,000",Java,,,,,,,SQL,,,C,Perl,,,,Its a paycheck,Mac OS X,"Fortune 1000 (1,000+)"
30-34,11,Germany,Rather not say,Java,,,,,,,,,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
51-60,11,United States of America,"$80,000 - $100,000",,JavaScript,CSS,,,,,SQL,C#,,,,,,,Love my job,Windows 7,Mature Small Business (25-100)
30-34,11,United States of America,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,40944,Australasia,"$40,000 - $60,000",Java,JavaScript,,,Python,,,SQL,C#,,C,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
20-24,40944,India,"<$20,000",,JavaScript,CSS,PHP,Python,,,SQL,C#,C++,C,,HTML5,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
20-24,40944,Other Europe,Rather not say,,JavaScript,,PHP,,,,,C#,C++,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
30-34,41070,India,"$20,000 - $40,000",,JavaScript,CSS,,,,,SQL,C#,,,,,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
25-29,41070,United States of America,"$80,000 - $100,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
30-34,41070,United Kingdom,Rather not say,,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,Its a paycheck,Mac OS X,Mature Small Business (25-100)
25-29,40944,Russia,"$20,000 - $40,000",,JavaScript,CSS,,Python,,Ruby,,,,,,HTML5,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
20-24,<2,India,"<$20,000",,,,,,Objective-C,,,,,,,HTML5,,,Love my job,Mac OS X,Mature Small Business (25-100)
25-29,41070,United States of America,"$20,000 - $40,000",Java,JavaScript,,,,,,SQL,,C++,,,,,VBA,Its a paycheck,Mac OS X,Mid Sized (100-999)
30-34,11,United Kingdom,Rather not say,,JavaScript,,,Python,,,SQL,C#,C++,,,,,,Love my job,Windows 7,Mature Small Business (25-100)
25-29,41070,Other Europe,Rather not say,Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,,,,"ADA 95, XHTML",I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
30-34,41070,United States of America,"$60,000 - $80,000",Java,JavaScript,CSS,,,,,SQL,,,C,Perl,HTML5,,,I'm not happy in my job,Windows XP,"Fortune 1000 (1,000+)"
25-29,41070,United States of America,"$80,000 - $100,000",,,CSS,PHP,,,,,,,,,HTML5,,Awesomeness,I enjoy going to work,Windows XP,Mid Sized (100-999)
25-29,40944,Other Europe,"$20,000 - $40,000",Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,,Love my job,Linux,Start Up (1-25)
20-24,11,France,"$20,000 - $40,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,Mature Small Business (25-100)
20-24,40944,United Kingdom,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,Objective-C,,SQL,C#,,,,HTML5,,,Its a paycheck,Mac OS X,Start Up (1-25)
25-29,40944,Other Asia,"<$20,000",,,,,Python,Objective-C,,,C#,C++,C,,,,,I enjoy going to work,Linux,Start Up (1-25)
51-60,41070,India,"<$20,000",Java,JavaScript,,,,,,,,,,,,,,I'm not happy in my job,Windows XP,"Fortune 1000 (1,000+)"
20-24,41070,South America,"$20,000 - $40,000",,JavaScript,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
< 20,41070,United States of America,"$40,000 - $60,000",Java,JavaScript,CSS,,,,,,,,,,HTML5,,,I'm not happy in my job,Linux,Start Up (1-25)
20-24,11,Other Europe,Rather not say,,JavaScript,,PHP,Python,,,SQL,,,,,HTML5,,,I'm not happy in my job,Windows 7,Start Up (1-25)
25-29,41070,United States of America,"$60,000 - $80,000",Java,JavaScript,,PHP,Python,,,SQL,,,,,,,,Love my job,Mac OS X,Start Up (1-25)
30-34,40944,France,Rather not say,,,,,,,,,,C++,,,,,Lua,Love my job,Windows 7,Start Up (1-25)
25-29,40944,Other Europe,"$20,000 - $40,000",,,,,Python,,,,,,,,,,,Its a paycheck,Mac OS X,Student
25-29,40944,United States of America,"$80,000 - $100,000",Java,,,,,,,,C#,C++,C,,,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
35-39,41070,Australia,"$100,000 - $120,000",Java,JavaScript,CSS,,,,,,,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
35-39,11,United States of America,">$140,000",Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,C++,C,Perl,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
25-29,40944,United Kingdom,Rather not say,,JavaScript,,,,Objective-C,,,,,,,,,,Love my job,Mac OS X,Mature Small Business (25-100)
20-24,40944,South America,Rather not say,,,,,,,,SQL,C#,,,,,,,Love my job,Windows 7,Mature Small Business (25-100)
30-34,11,United States of America,"$80,000 - $100,000",Java,JavaScript,CSS,,Python,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
25-29,40944,United States of America,"$40,000 - $60,000",,,,,,,,,,,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
20-24,40944,United States of America,"$40,000 - $60,000",,,,,,,,SQL,C#,,,,,,,Its a paycheck,Windows 7,Mature Small Business (25-100)
25-29,41070,Other Europe,"$20,000 - $40,000",Java,,,,,,,,,C++,C,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
25-29,40944,United States of America,"$80,000 - $100,000",Java,JavaScript,CSS,,Python,,Ruby,SQL,C#,C++,,,,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
25-29,41070,South America,,Java,JavaScript,CSS,PHP,Python,,,,,,,,HTML5,,,Love my job,Mac OS X,"Fortune 1000 (1,000+)"
35-39,11,Canada,"$100,000 - $120,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,Mid Sized (100-999)
25-29,41070,United Kingdom,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,SQL,,C++,,Perl,HTML5,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
20-24,40944,Australia,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,,,SQL,C#,C++,C,,HTML5,,Ada,Its a paycheck,Windows 7,Mature Small Business (25-100)
20-24,41070,United States of America,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Its a paycheck,Windows 7,Mid Sized (100-999)
20-24,<2,Other Asia,"<$20,000",Java,,,,,,,SQL,C#,C++,C,,,,Action Script (Flex dev),I'm not happy in my job,Windows 7,Mature Small Business (25-100)
25-29,40944,India,Rather not say,Java,,,,,,,SQL,C#,,,,,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
< 20,40944,Netherlands,Student / Unemployed,Java,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,Assembly,I wish I had a job!,Linux,Student
20-24,40944,Other Europe,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,XSLT,I enjoy going to work,Windows 7,Mid Sized (100-999)
30-34,<2,Other Europe,Rather not say,,JavaScript,,,Python,,,SQL,C#,,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
30-34,41070,United Kingdom,"$40,000 - $60,000",,,,,,,,,C#,,,,,,VB,I'm not happy in my job,Windows 7,Mature Small Business (25-100)
20-24,40944,United States of America,"$60,000 - $80,000",Java,JavaScript,,,,,,,,,,,,,,Its a paycheck,Linux,"Fortune 1000 (1,000+)"
25-29,11,United States of America,"$60,000 - $80,000",,,,,Python,,,,,C++,C,,,,,I'm not happy in my job,Windows XP,Mid Sized (100-999)
35-39,41070,Other Asia,"<$20,000",,JavaScript,CSS,,,,,SQL,,,C,,,,,Its a paycheck,Windows XP,Mature Small Business (25-100)
< 20,<2,India,Rather not say,,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,Love my job,Windows XP,Start Up (1-25)
30-34,11,Mexico,Rather not say,,,,,,,,,,,,,,,shell,I enjoy going to work,Linux,Start Up (1-25)
40-50,11,Other Asia,"$40,000 - $60,000",Java,,,PHP,Python,,,,,C++,C,Perl,,,"/bin/sh, lua, emacs lisp",I'm not happy in my job,Linux,Mature Small Business (25-100)
30-34,41070,India,Rather not say,,,,,,,,,,,C,,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
20-24,41070,Other Asia,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,"AS2, AS3",Love my job,Windows 7,Start Up (1-25)
20-24,40944,Other Europe,Rather not say,,,,,Python,,,SQL,C#,,,,,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
30-34,11,Canada,"$40,000 - $60,000",Java,JavaScript,CSS,,,,,SQL,C#,C++,,,HTML5,,,Its a paycheck,Windows XP,Start Up (1-25)
40-50,41070,United States of America,"$80,000 - $100,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,Mid Sized (100-999)
30-34,40944,Germany,"$60,000 - $80,000",,,,,Python,,,,,,C,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
25-29,40944,Other Asia,"$20,000 - $40,000",Java,JavaScript,CSS,,,,,SQL,,C++,C,,,,,Its a paycheck,Windows 7,Start Up (1-25)
30-34,41070,India,Rather not say,,,,PHP,,,,,C#,C++,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
25-29,40944,India,Rather not say,Java,JavaScript,,PHP,,,,,,,,,,,,Love my job,Windows 7,Start Up (1-25)
25-29,40944,Germany,"$80,000 - $100,000",,JavaScript,,PHP,Python,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
30-34,11,United States of America,"$100,000 - $120,000",Java,,,,,,,SQL,,,,,,,ColdFusion,Love my job,Windows 7,"Fortune 1000 (1,000+)"
30-34,11,Other Europe,Rather not say,Java,JavaScript,CSS,PHP,Python,,,SQL,C#,,,,,,,Love my job,Mac OS X,Mature Small Business (25-100)
25-29,40944,India,Rather not say,,JavaScript,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
< 20,40944,United States of America,Student / Unemployed,,JavaScript,,PHP,Python,Objective-C,,SQL,,C++,C,,HTML5,,,I enjoy going to work,Mac OS X,Student
20-24,<2,India,Rather not say,Java,,,,,,,,,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
20-24,<2,India,Rather not say,Java,JavaScript,,,,,,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,Mature Small Business (25-100)
20-24,11,Canada,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,Ruby,SQL,,,C,,HTML5,,,I'm not happy in my job,Mac OS X,Mid Sized (100-999)
25-29,40944,Other Europe,"$20,000 - $40,000",Java,,CSS,PHP,Python,,,,,,,,,,,I'm not happy in my job,Mac OS X,Start Up (1-25)
30-34,41070,United States of America,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,SQL,,C++,C,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
30-34,41070,South America,"$40,000 - $60,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
25-29,<2,United States of America,"$80,000 - $100,000",Java,,,,,,,SQL,,,,,,,Flex,I enjoy going to work,Windows 7,Start Up (1-25)
20-24,40944,Canada,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
25-29,41070,Italy,"<$20,000",Java,,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
30-34,<2,United States of America,Rather not say,Java,,,PHP,Python,,,SQL,,C++,,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
30-34,40944,United States of America,"$20,000 - $40,000",,JavaScript,CSS,PHP,Python,,,SQL,C#,,,,HTML5,,,Love my job,Windows 7,Mature Small Business (25-100)
30-34,41070,United Kingdom,"$40,000 - $60,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,Mature Small Business (25-100)
25-29,40944,Australia,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,I enjoy going to work,Mac OS X,Start Up (1-25)
35-39,11,United States of America,Rather not say,,,,,,,,SQL,C#,C++,,,,,,Love my job,Windows 7,Start Up (1-25)
20-24,40944,Other Europe,"<$20,000",Java,JavaScript,CSS,,,,,SQL,C#,C++,C,,,,"PIC, ARM7, AVR32, X86 and X64 assembly",Its a paycheck,Windows 7,Start Up (1-25)
20-24,<2,United States of America,"<$20,000",Java,,,,,,,,,,,,,,D,I enjoy going to work,Linux,Start Up (1-25)
25-29,40944,United Kingdom,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,Python,,Ruby,SQL,C#,,,Perl,HTML5,,,Love my job,Windows 7,Mature Small Business (25-100)
