string_field_1,string_field_4,string_field_0,string_field_105,string_field_8,string_field_9,string_field_10,string_field_11,string_field_12,string_field_13,string_field_14,string_field_15,string_field_16,string_field_17,string_field_18,string_field_19,string_field_20,string_field_21,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_109,string_field_2,string_field_6
20-24,2 - 5 years,United Kingdom,"$40,000 - $60,000",,,AngularJS,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,Visual Basic,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
30-34,6 - 10 years,United Kingdom,"$40,000 - $60,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,I hate my job,Male,Windows 7
20-24,2 - 5 years,United States,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,,I hate my job,Male,Windows 7
20-24,2 - 5 years,Singapore,"$40,000 - $60,000",,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
25-29,11+ years,United States,"$40,000 - $60,000",Android,,,,,,C#,,,,,,,,,,,iOS,Java,JavaScript,LAMP,,,,Objective-C,,PHP,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
35-39,6 - 10 years,India,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
25-29,2 - 5 years,Croatia,"$60,000 - $80,000",Android,,AngularJS,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,Node.js,,,,,,,Ruby,,,,,,SQL,SQL Server,,,,,,I love my job,Male,Other Linux
25-29,6 - 10 years,United Arab Emirates,"$60,000 - $80,000",,,,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,Node.js,,,PHP,Python,,Redis,Ruby,,,,,,SQL,,,Visual Basic,,,,I love my job,Male,
25-29,2 - 5 years,United States,"$60,000 - $80,000",,,AngularJS,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,SQL,,,,,,,,Male,Ubuntu
25-29,2 - 5 years,United States,"$60,000 - $80,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,Ruby,,,,,,SQL,,,,,,,I love my job,Male,Ubuntu
20-24,6 - 10 years,United States,"$60,000 - $80,000",Android,,,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,MongoDB,Node.js,Objective-C,,,Python,,,,,,,,,SQL,,Swift,,,,,I love my job,Male,Mac OS X
30-34,11+ years,United Kingdom,"$60,000 - $80,000",,,AngularJS,,,,C#,,CoffeeScript,,,,,,,,Haskell,,,JavaScript,,,,,,,,,,,,,Salesforce,,Sharepoint,,SQL,SQL Server,,,,,,I love my job,Male,Windows 8
30-34,6 - 10 years,United Kingdom,"$60,000 - $80,000",,Arduino / Raspberry Pi,AngularJS,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,LAMP,,MongoDB,Node.js,,,PHP,,,,Ruby,,,,,,,,,,,,,I love my job,Male,Mac OS X
30-34,6 - 10 years,Germany,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,iOS,,JavaScript,,,,Node.js,Objective-C,,,,,,,,,,,,,SQL Server,,,,,,I love my job,Male,Windows 8
25-29,2 - 5 years,Spain,"$60,000 - $80,000",,,,,,,,,,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,I'm somewhat dissatisfied with my job,Male,Mac OS X
30-34,6 - 10 years,India,"Less than $20,000",,Arduino / Raspberry Pi,AngularJS,,C++,,C#,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
20-24,Less than 1 year,India,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I love my job,Male,Windows 7
20-24,Less than 1 year,N/A,"Less than $20,000",,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Female,Windows 7
25-29,2 - 5 years,Bulgaria,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
25-29,6 - 10 years,Portugal,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat dissatisfied with my job,Male,Windows 7
30-34,6 - 10 years,Germany,"Less than $20,000",,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,Wordpress,,I love my job,Male,Windows 7
20-24,2 - 5 years,Italy,"Less than $20,000",,Arduino / Raspberry Pi,,C,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,Objective-C,,PHP,Python,,,,,,,,,SQL,,,Visual Basic,,,,I'm somewhat satisfied with my job,Male,Windows 7
20-24,1 - 2 years,India,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
30-34,2 - 5 years,Venezuela,"Less than $20,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,Salesforce,,,,,,,,,Wordpress,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
20-24,1 - 2 years,India,"Less than $20,000",Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat dissatisfied with my job,Male,Windows 8
20-24,2 - 5 years,Indonesia,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
< 20,1 - 2 years,Germany,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,,Male,Windows 8
25-29,2 - 5 years,Brazil,"Less than $20,000",,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,Powershell,I hate my job,Male,Windows 8
25-29,2 - 5 years,India,"Less than $20,000",,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,,,,,,,,I love my job,Male,Ubuntu
25-29,2 - 5 years,India,"Less than $20,000",,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,I'm somewhat satisfied with my job,Male,Windows 7
25-29,2 - 5 years,India,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
30-34,6 - 10 years,Nepal,"Less than $20,000",Android,,AngularJS,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,MongoDB,Node.js,Objective-C,,PHP,,,,,,,,,,SQL,,,,,,,I'm somewhat dissatisfied with my job,Male,Mac OS X
20-24,1 - 2 years,India,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
25-29,1 - 2 years,Nepal,"Less than $20,000",,,AngularJS,C,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
30-34,6 - 10 years,Canada,"$80,000 - $100,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
40-50,11+ years,United States,"$80,000 - $100,000",,,,,,,C#,,,,,,,,,,,iOS,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,Swift,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
30-34,11+ years,United States,"$80,000 - $100,000",,,AngularJS,,,,,,,,,,,,,,,,,,,,,,,,PHP,Python,,,,,,Scala,,,,,,,,,,I love my job,Male,Ubuntu
25-29,6 - 10 years,United States,"More than $160,000",,Arduino / Raspberry Pi,AngularJS,,C++,C++11,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,Matlab,,,,,,,,,,,,,,,,SQL Server,,,Windows Phone,,,I love my job,Male,Windows 8
25-29,11+ years,United States,"$100,000 - $120,000",,,AngularJS,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,Node.js,,,PHP,Python,,Redis,,,,,,,SQL,,,,,,Go,I love my job,Male,Ubuntu
40-50,11+ years,Australia,"$100,000 - $120,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
30-34,2 - 5 years,United Kingdom,"$120,000 - $140,000",,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
25-29,2 - 5 years,United States,"$120,000 - $140,000",,,AngularJS,,,,C#,Cassandra,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,Ruby,,,,,,SQL,,,Visual Basic,,,,I'm somewhat dissatisfied with my job,Male,Mac OS X
35-39,11+ years,United States,"$120,000 - $140,000",,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,"Groovy, Grails, Spring",I love my job,Male,Windows 7
35-39,6 - 10 years,United Kingdom,,,,,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,,,,,,,,,,,,,,SQL,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
20-24,1 - 2 years,Pakistan,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,I love my job,Male,Windows 8
20-24,1 - 2 years,Kenya,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,Ruby,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Other Linux
25-29,1 - 2 years,India,,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
40-50,11+ years,United Kingdom,,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I'm somewhat satisfied with my job,Male,Windows 7
30-34,6 - 10 years,Sweden,,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
,2 - 5 years,Canada,Unemployed,,,,,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,Ruby,,,,,,,,Swift,,,,,,Male,Mac OS X
25-29,6 - 10 years,South Africa,Rather not say,,,AngularJS,,,,C#,,,Cordova,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,1 - 2 years,Israel,Rather not say,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
25-29,2 - 5 years,Bangladesh,Rather not say,Android,,,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
35-39,6 - 10 years,Ireland {Republic},Rather not say,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat dissatisfied with my job,Male,Windows 7
25-29,2 - 5 years,United Kingdom,Rather not say,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,I love my job,Male,Ubuntu
25-29,6 - 10 years,Poland,Rather not say,,,AngularJS,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,Ruby,,,,,,SQL,,,,,,,I love my job,Male,Ubuntu
25-29,6 - 10 years,Ireland {Republic},"$20,000 - $40,000",,Arduino / Raspberry Pi,,C,,,,,CoffeeScript,,Clojure,,,,Go,,,,,JavaScript,,,MongoDB,Node.js,Objective-C,,PHP,,,Redis,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Mac OS X
25-29,2 - 5 years,Austria,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 8
35-39,11+ years,Czech Republic,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
25-29,2 - 5 years,United Kingdom,"$20,000 - $40,000",,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,Ruby,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
25-29,2 - 5 years,Greece,"$20,000 - $40,000",,,,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,,I'm neither satisfied nor dissatisfied with my job,Female,Windows 7
25-29,6 - 10 years,India,"$20,000 - $40,000",,,AngularJS,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,MongoDB,,,,,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
35-39,11+ years,Italy,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,,,,MongoDB,,,,,,,,,,,,,,,SQL Server,,,,,,I love my job,Male,Windows 8
20-24,6 - 10 years,United Kingdom,"$20,000 - $40,000",,,,,,,C#,,,,,,,,Go,,,,,JavaScript,,,MongoDB,Node.js,,,,,,,Ruby,,,,,,,,,,,,,I love my job,Male,Mac OS X
30-34,11+ years,Italy,"$20,000 - $40,000",,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,,,,,,I love my job,Male,Windows 8
25-29,2 - 5 years,Finland,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,,I love my job,Male,Ubuntu
25-29,2 - 5 years,United Kingdom,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,Swift,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
30-34,11+ years,Germany,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,iOS,Java,JavaScript,LAMP,,,Node.js,Objective-C,,PHP,,,,,,,,,,SQL,,Swift,,,Wordpress,,I'm somewhat satisfied with my job,Male,Mac OS X
20-24,2 - 5 years,United Kingdom,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,Wordpress,,I love my job,Male,Windows 8
30-34,2 - 5 years,United Kingdom,"$40,000 - $60,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,Visual FoxPro,I love my job,Male,Windows 7
30-34,11+ years,Hungary,"$40,000 - $60,000",,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
20-24,2 - 5 years,Netherlands,"$40,000 - $60,000",,Arduino / Raspberry Pi,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,I'm somewhat satisfied with my job,Male,Mac OS X
25-29,2 - 5 years,United States,"$60,000 - $80,000",,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,Node.js,,,PHP,,,,,,,,,,SQL,,,,,,,I love my job,Male,Mac OS X
35-39,11+ years,Canada,"$60,000 - $80,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I love my job,Male,Windows 8
30-34,11+ years,Norway,"$60,000 - $80,000",Android,Arduino / Raspberry Pi,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,MongoDB,,,,PHP,,,,,,,,,,,SQL Server,,,,,,I'm somewhat satisfied with my job,Male,Windows 8
< 20,2 - 5 years,Pakistan,"Less than $20,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,,I love my job,Male,Windows 7
25-29,2 - 5 years,India,"Less than $20,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,I love my job,Male,Windows 8
20-24,2 - 5 years,Indonesia,"Less than $20,000",Android,,,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,MongoDB,Node.js,,,PHP,,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
35-39,11+ years,Czech Republic,"Less than $20,000",,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,Node.js,,Perl,PHP,,,,,,,,,,SQL,,,,,Wordpress,,I love my job,Male,Mac OS X
20-24,1 - 2 years,India,"Less than $20,000",Android,,AngularJS,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,MongoDB,,,,,,,,Ruby,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Female,Mint
30-34,11+ years,Canada,"Less than $20,000",,,,,,,,,,,,,,,Go,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,Wordpress,,I'm somewhat satisfied with my job,Male,Mac OS X
20-24,1 - 2 years,Mexico,"Less than $20,000",,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat dissatisfied with my job,Female,Windows 7
20-24,2 - 5 years,India,"Less than $20,000",,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,ColdFusion,I'm somewhat satisfied with my job,Male,Windows 7
20-24,2 - 5 years,India,"Less than $20,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,,Python,,,Ruby,,,,,,,,,,,,,I love my job,Male,Ubuntu
20-24,1 - 2 years,Ukraine,"Less than $20,000",,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,PHP,,,,,,,,,,,,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Mac OS X
30-34,6 - 10 years,Russian Federation,"Less than $20,000",,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,,,I love my job,Male,Ubuntu
25-29,6 - 10 years,Ukraine,"Less than $20,000",,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,Python,,,,,,,,,,,,,,Wordpress,,I love my job,Male,Windows 7
20-24,2 - 5 years,Armenia,"Less than $20,000",,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,I love my job,Male,Windows 7
25-29,6 - 10 years,Mongolia,"Less than $20,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
35-39,11+ years,Sweden,"$80,000 - $100,000",,,AngularJS,,,,,,,,,,,,,,,,Java,JavaScript,,,MongoDB,,,,,,,,,,,Scala,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Mint
35-39,11+ years,Canada,"$80,000 - $100,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I love my job,Male,Windows 7
35-39,11+ years,Iran,"$80,000 - $100,000",,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,Wordpress,,I love my job,Male,Windows 7
25-29,6 - 10 years,United States,"$80,000 - $100,000",,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,Redis,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Ubuntu
25-29,6 - 10 years,United States,"$80,000 - $100,000",,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,Go,,,,,JavaScript,LAMP,,MongoDB,,,,PHP,,,Redis,,,,,,,,,,,,Wordpress,,I'm somewhat satisfied with my job,Male,Mac OS X
35-39,11+ years,United States,"$100,000 - $120,000",Android,,AngularJS,,,,,,CoffeeScript,Cordova,,,,,,,,iOS,Java,JavaScript,,,MongoDB,Node.js,Objective-C,Perl,PHP,,,,Ruby,,,,Sharepoint,,SQL,,,Visual Basic,,Wordpress,,I'm somewhat satisfied with my job,Male,Mac OS X
30-34,11+ years,United States,"$100,000 - $120,000",,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,,I love my job,Male,Mac OS X
40-50,11+ years,United Kingdom,"$100,000 - $120,000",,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,,I love my job,Male,Windows 7
30-34,6 - 10 years,United States,"$100,000 - $120,000",,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I love my job,Male,Mac OS X
30-34,6 - 10 years,Australia,"$120,000 - $140,000",,,AngularJS,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
30-34,6 - 10 years,Poland,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,MongoDB,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm somewhat satisfied with my job,Female,Windows 7
20-24,1 - 2 years,India,,Android,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Windows 7
35-39,11+ years,Italy,,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 7
< 20,Less than 1 year,Pakistan,Unemployed,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,Male,Windows 7
20-24,2 - 5 years,Romania,Unemployed,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,Wordpress,,I'm somewhat satisfied with my job,Male,Windows 7
51-60,11+ years,Italy,Unemployed,,,,,,C++11,,,,,,,,,,,,,Java,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,,,Male,Ubuntu
20-24,2 - 5 years,Spain,Unemployed,Android,,,,,,,,CoffeeScript,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,,,,Ruby,,,,,,SQL,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
< 20,2 - 5 years,South Africa,Unemployed,,,,,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,,,Male,Windows 8
< 20,2 - 5 years,Turkey,Unemployed,Android,Arduino / Raspberry Pi,AngularJS,,C++,,,,CoffeeScript,,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,,Python,,,,,,Scala,,,SQL,,Swift,,,,,,Male,Ubuntu
35-39,11+ years,Argentina,Unemployed,,,,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,Redis,,,,,,,SQL,,,,,,,I'm somewhat dissatisfied with my job,Male,Windows 8
25-29,2 - 5 years,Ireland {Republic},Rather not say,,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
25-29,2 - 5 years,India,Rather not say,Android,,AngularJS,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,,Other (please specify),Male,Ubuntu
25-29,6 - 10 years,United States,Rather not say,Android,,,C,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,,,,,,,Perl,,Python,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Mac OS X
25-29,2 - 5 years,United Kingdom,Rather not say,,Arduino / Raspberry Pi,,C,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,,,,,,Python,,Redis,,,,,,,,,,,,,racket,I'm somewhat dissatisfied with my job,Male,Ubuntu
20-24,2 - 5 years,Switzerland,Rather not say,,,,C,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,Scala,,,SQL,,,,,Wordpress,,,Male,Windows 7
30-34,6 - 10 years,Spain,Rather not say,,,AngularJS,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,I'm somewhat satisfied with my job,Male,Other Linux
30-34,11+ years,Hungary,"$20,000 - $40,000",,,,,,,,,,,,,,,,,,,Java,,LAMP,,,,,Perl,,,,,,,,,,,SQL,,,,,,Haxe,I love my job,Male,Debian
30-34,11+ years,Costa Rica,"$20,000 - $40,000",,,AngularJS,C,C++,C++11,,,,,,,,,Go,,,,,JavaScript,LAMP,,,,,,PHP,Python,,,,Rust,,,,,SQL,,,,,,,I love my job,Male,Ubuntu
30-34,6 - 10 years,Brazil,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,,I'm somewhat dissatisfied with my job,Male,Windows 8
25-29,2 - 5 years,Australia,"$20,000 - $40,000",,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,,I love my job,Male,Windows 8
25-29,1 - 2 years,China,"$20,000 - $40,000",,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,,I love my job,Male,Windows 7
20-24,2 - 5 years,India,"$20,000 - $40,000",,,AngularJS,,,,C#,,,,,,,,,,,,,,,,,Node.js,,,,,,,,,,,Sharepoint,,SQL,SQL Server,,,,,,I'm neither satisfied nor dissatisfied with my job,Male,Windows 8
25-29,2 - 5 years,Lebanon,"$20,000 - $40,000",Android,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,I love my job,Male,Windows 8
20-24,6 - 10 years,France,"$20,000 - $40,000",,,AngularJS,,C++,,,,,,,,,,,,,,,JavaScript,,Matlab,,,,,PHP,,,,,,,,,,SQL,,,,,,,,Male,Windows 7
