string_field_3,string_field_5,string_field_0,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53,string_field_4,string_field_67,string_field_9
25-29,2/5/2014,India,Rather not say,,,,Java,JavaScript,,,,,,SQL,,Female,Windows 7,100
20-24,2/5/2014,United Kingdom,"$20,000 - $40,000",,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 8,50-100
20-24,2/5/2014,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,,,,,Ruby,SQL,,Male,Windows 8,6/15/2014
25-29,2/5/2014,Switzerland,Rather not say,,,,Java,JavaScript,,,,,,SQL,,Male,Mac OS X,1/5/2014
30-34,6/10/2014,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,31-50
25-29,6/10/2014,United States,Rather not say,,,C#,Java,JavaScript,,,,Python,,SQL,Lisp,Male,Linux,6/15/2014
25-29,6/10/2014,United States,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Ubuntu,1/5/2014
30-34,2/5/2014,United Kingdom,"$40,000 - $60,000",,,,,JavaScript,,Objective-C,PHP,,,SQL,,Male,Mac OS X,1/5/2014
20-24,2/5/2014,Belgium,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,,TypeScript,Male,Windows 7,6/15/2014
30-34,11,Germany,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,31-50
51-60,11,United States,Rather not say,,,,,,,,,,,,COBOL,Male,Windows 7,50-100
35-39,11,Austria,"$100,000 - $120,000",,C++,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,6/15/2014
25-29,2/5/2014,Ireland,"$60,000 - $80,000",,,C#,,,,,,,,SQL,VB.NET,Male,Windows 7,1/5/2014
30-34,6/10/2014,Switzerland,"$100,000 - $120,000",,C++,C#,,,,Objective-C,,,,SQL,,Male,Windows 7,6/15/2014
40-50,11,United States,"$100,000 - $120,000",C,C++,,,JavaScript,,,PHP,Python,,SQL,,Male,Linux,31-50
20-24,6/10/2014,Russia,,,,,,,,,PHP,,,SQL,,Male,Linux,
35-39,<2,United States,"$60,000 - $80,000",,,,Java,JavaScript,,,PHP,,Ruby,SQL,,Male,Windows 7,16-30
40-50,11,Germany,"$120,000 - $140,000",,,,Java,JavaScript,,,,Python,,,Groovy,Male,Linux,16-30
25-29,6/10/2014,Mexico,Rather not say,,,,,JavaScript,Node.js,,,Python,,,,Male,Linux,16-30
25-29,6/10/2014,United Kingdom,,,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,2/5/2014,Germany,"$40,000 - $60,000",,,C#,,JavaScript,Node.js,,,,,SQL,,Male,Windows 7,50-100
35-39,11,Russia,"<$20,000",,,,,JavaScript,Node.js,,PHP,,,,,Male,Windows 7,1/5/2014
25-29,6/10/2014,Belgium,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,31-50
20-24,<2,India,Rather not say,,,C#,Java,JavaScript,Node.js,,PHP,,,,,Male,Windows 7,6/15/2014
25-29,6/10/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,6/15/2014
30-34,2/5/2014,Brazil,"$20,000 - $40,000",,,,Java,,,,,,Ruby,,,Male,Debian,1/5/2014
25-29,2/5/2014,Brazil,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Ubuntu,1/5/2014
40-50,11,United States,"$120,000 - $140,000",,,C#,,JavaScript,,,,,,SQL,F#,Male,Windows 7,100
25-29,6/10/2014,United States,"$60,000 - $80,000",,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 7,100
30-34,6/10/2014,Mexico,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,,NoSQL,Male,Windows 7,50-100
25-29,<2,United States,"$20,000 - $40,000",,,,,JavaScript,,,,Python,,,,Male,Windows 7,1/5/2014
30-34,6/10/2014,United States,"$80,000 - $100,000",,,,,JavaScript,,,,Python,Ruby,,,Male,Linux,100
20-24,2/5/2014,United States,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,6/10/2014,United States,"$80,000 - $100,000",,,,,JavaScript,Node.js,,PHP,Python,,SQL,,Male,Windows 7,100
30-34,11,United Kingdom,Rather not say,,,C#,Java,JavaScript,,,,,Ruby,SQL,,Male,Windows 7,1/5/2014
25-29,2/5/2014,United States,"$100,000 - $120,000",,,,Java,JavaScript,,,,,,SQL,Grails,Male,Mac OS X,50-100
35-39,11,United Kingdom,">$140,000",,,C#,,,,,,,,,,Male,Windows 8,16-30
20-24,2/5/2014,India,"<$20,000",,,,,JavaScript,Node.js,,PHP,,,,"bash,",Male,Windows 8,100
35-39,6/10/2014,Germany,"$60,000 - $80,000",,,C#,,,,,,,,SQL,,Male,Windows 7,1/5/2014
20-24,2/5/2014,Indonesia,Rather not say,,,C#,Java,JavaScript,,,PHP,Python,,SQL,,Male,Windows 7,100
< 20,2/5/2014,United States,Rather not say,,,,Java,,,,,Python,,,,Male,Windows 7,6/15/2014
25-29,11,United States,"$80,000 - $100,000",C,C++,C#,Java,,,,,,,,Python,Male,Linux,16-30
30-34,6/10/2014,Russia,"$20,000 - $40,000",,,C#,,,,,,,,,F#,Male,Windows 8,6/15/2014
40-50,11,Netherlands,Rather not say,,,C#,Java,JavaScript,,,,,,SQL,,Female,Windows XP,31-50
25-29,6/10/2014,Germany,,,C++,,,,,,,Python,,,"CMake, Lua",Male,Windows 7,100
25-29,2/5/2014,Ukraine,"<$20,000",C,,,,,,Objective-C,,,,,,Male,Mac OS X,16-30
30-34,6/10/2014,Belarus,"$20,000 - $40,000",,,,,,,Objective-C,,,,,,Male,Mac OS X,100
35-39,6/10/2014,Italy,"$20,000 - $40,000",,,,Java,,,Objective-C,,,,SQL,,Male,Mac OS X,100
25-29,2/5/2014,United States,"$40,000 - $60,000",,C++,C#,,,,Objective-C,,,,SQL,,Male,Windows 8,100
30-34,6/10/2014,Germany,"$60,000 - $80,000",,,,Java,JavaScript,,Objective-C,,,,,,Male,Mac OS X,100
35-39,11,United Kingdom,"$60,000 - $80,000",C,C++,,,,,,,,,,,Male,Windows 7,100
25-29,11,Mexico,"$20,000 - $40,000",C,C++,C#,Java,,,,,Python,,SQL,,Male,Windows 8,6/15/2014
40-50,11,United Kingdom,">$140,000",,,C#,,,,,,,,,,Male,Windows 7,100
35-39,11,United Kingdom,"$60,000 - $80,000",,,C#,,,,,,,,SQL,,Male,Windows 8,16-30
20-24,11,Iran,Student / Unemployed,C,C++,,,,,,PHP,,,,,Male,Linux,
40-50,11,Ireland,Rather not say,,,,,JavaScript,,,PHP,Python,,SQL,,Male,Windows 7,1/5/2014
< 20,2/5/2014,United States,Student / Unemployed,,C++,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,
20-24,<2,Canada,Student / Unemployed,C,C++,,Java,,,,,,Ruby,,,Male,Mac OS X,100
30-34,6/10/2014,United Kingdom,"$40,000 - $60,000",,,,,,,,,,,,MATLAB,Female,Ubuntu,100
25-29,6/10/2014,Hungary,"<$20,000",,,C#,,JavaScript,,,,,,SQL,"SQLScript, ABAP",Male,Windows 7,100
25-29,6/10/2014,United Kingdom,"$40,000 - $60,000",,,,,JavaScript,Node.js,,PHP,,,SQL,,Male,Mac OS X,1/5/2014
35-39,11,United States,">$140,000",,,,Java,JavaScript,,,,,,,scala,Male,Linux,31-50
30-34,6/10/2014,Germany,"$60,000 - $80,000",,,,Java,,,,,,,,,Male,Windows 7,31-50
20-24,2/5/2014,Greece,"$60,000 - $80,000",,,,,JavaScript,,,PHP,,,,,Male,Mac OS X,31-50
30-34,2/5/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,Node.js,,,Python,,,,Male,Linux,100
25-29,2/5/2014,France,"$40,000 - $60,000",,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,100
20-24,2/5/2014,Brazil,"<$20,000",,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,100
30-34,6/10/2014,Slovenia,,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,6/15/2014
20-24,2/5/2014,Germany,,,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,1/5/2014
25-29,2/5/2014,United Kingdom,"$60,000 - $80,000",,C++,,,JavaScript,,,,Python,,,,Male,Linux,31-50
30-34,6/10/2014,Thailand,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,100
30-34,11,United States,Rather not say,,,C#,Java,JavaScript,Node.js,,,Python,,SQL,,Male,Mac OS X,1/5/2014
25-29,2/5/2014,India,"<$20,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,100
30-34,11,Spain,"$20,000 - $40,000",,,,,JavaScript,Node.js,,PHP,,,SQL,"CSS, HTML, MongoDB, Grunt, AngularJS, Compass, jQuery",Male,Mac OS X,31-50
25-29,2/5/2014,Argentina,"$80,000 - $100,000",,,C#,,JavaScript,Node.js,,,,,,,Male,Linux,6/15/2014
35-39,11,Italy,"$40,000 - $60,000",,,,Java,,,,,,,SQL,,Male,Windows 7,6/15/2014
35-39,11,France,"$60,000 - $80,000",,,,Java,,,,,,,,Scala,Male,Windows 7,100
35-39,6/10/2014,Colombia,"$20,000 - $40,000",,,C#,,,,,,,,,,Male,Windows 7,6/15/2014
25-29,11,Israel,"$20,000 - $40,000",,C++,C#,,,,,,,,,,Male,Windows 7,50-100
30-34,11,Spain,"$100,000 - $120,000",C,,,,,,,,Python,,,,Male,Ubuntu,6/15/2014
30-34,11,United Kingdom,"$60,000 - $80,000",,,,Java,,,,,Python,,,,Male,Linux,31-50
40-50,11,Switzerland,"$100,000 - $120,000",,,C#,,,,,,,,SQL,F#,Male,Windows 7,6/15/2014
20-24,6/10/2014,Romania,Rather not say,,C++,C#,,JavaScript,,,,,,,,Male,Windows 7,6/15/2014
20-24,<2,Pakistan,Rather not say,,,,Java,,,Objective-C,,,,,,Male,Windows 8,31-50
35-39,11,Israel,Rather not say,,,,Java,,,,PHP,,,SQL,,Male,Windows XP,1/5/2014
25-29,6/10/2014,Turkey,Rather not say,C,C++,,Java,JavaScript,,Objective-C,,,,,,Male,Mac OS X,1/5/2014
40-50,11,United States,"$100,000 - $120,000",C,,,,JavaScript,,,,,Ruby,,,Male,Mac OS X,50-100
40-50,11,United States,"$120,000 - $140,000",C,,,,JavaScript,Node.js,,,Python,Ruby,,,Male,Ubuntu,6/15/2014
40-50,11,United Kingdom,"$40,000 - $60,000",,,,,JavaScript,,,,Python,,,Bash,Male,Windows 7,100
30-34,11,Germany,Rather not say,,C++,,,,,,,Python,Ruby,SQL,,Male,Linux,100
25-29,6/10/2014,United States,"$80,000 - $100,000",,,,,,,,,,Ruby,,,Male,Mac OS X,6/15/2014
30-34,11,Netherlands,,C,C++,C#,Java,,,,PHP,,,SQL,delphi,Male,Windows 7,100
25-29,6/10/2014,Ukraine,"<$20,000",,,C#,,JavaScript,,,PHP,Python,,SQL,,Male,Windows 8,16-30
20-24,<2,India,"<$20,000",,,,Java,,,,,Python,,SQL,,Male,Mac OS X,100
35-39,11,Sweden,Rather not say,C,C++,,Java,,,,,Python,,SQL,,Prefer not to disclose,Ubuntu,100
20-24,<2,United Arab Emirates,Student / Unemployed,,C++,,,JavaScript,,,,Python,,SQL,,Male,Windows 7,1/5/2014
20-24,2/5/2014,France,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Ubuntu,50-100
51-60,11,Germany,">$140,000",,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
25-29,6/10/2014,United States,"$60,000 - $80,000",,,,,JavaScript,Node.js,,,,,,,Male,Windows 7,1/5/2014
25-29,2/5/2014,United States,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,,Grails,Male,Mac OS X,31-50
25-29,6/10/2014,United States,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Ubuntu,31-50
30-34,6/10/2014,Russia,"<$20,000",,,,,JavaScript,,,PHP,,,,,Male,Ubuntu,16-30
35-39,11,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
25-29,2/5/2014,Poland,"$20,000 - $40,000",,,,Java,JavaScript,,,,Python,,,Scala,Male,Windows 7,50-100
25-29,2/5/2014,United States,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,2/5/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,6/10/2014,United Kingdom,"$40,000 - $60,000",,,,,JavaScript,,,,Python,,SQL,,Male,Mac OS X,6/15/2014
30-34,6/10/2014,United States,"$80,000 - $100,000",,,,,,,,,,,SQL,VB.Net,Male,Windows 7,31-50
35-39,11,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 8,1/5/2014
30-34,6/10/2014,Israel,"$120,000 - $140,000",,,C#,,JavaScript,Node.js,,,,,SQL,,Male,Windows 8,16-30
40-50,11,United States,"$120,000 - $140,000",C,C++,C#,Java,JavaScript,,,PHP,Python,Ruby,SQL,scala,Male,Ubuntu,50-100
40-50,11,United States,"$100,000 - $120,000",C,,C#,Java,,,,,,,SQL,"Perl, Bash",Male,Mac OS X,100
25-29,2/5/2014,United States,"$60,000 - $80,000",,,C#,,,,Objective-C,,,,SQL,VB.Net,Male,Windows 7,6/15/2014
25-29,2/5/2014,Canada,"$60,000 - $80,000",,,C#,,,,,,,,,,Male,Windows 7,6/15/2014
25-29,2/5/2014,United States,"$80,000 - $100,000",,,C#,Java,JavaScript,,Objective-C,PHP,,,SQL,,Male,Windows 7,100
25-29,2/5/2014,Moldova,"<$20,000",C,,,Java,JavaScript,,,,,,SQL,,Male,Ubuntu,100
25-29,2/5/2014,Egypt,"<$20,000",,,C#,Java,,,,,Python,,,,Male,Windows 8,100
25-29,2/5/2014,Brazil,"$40,000 - $60,000",C,,C#,,,,Objective-C,,,Ruby,SQL,,Male,Mac OS X,6/15/2014
25-29,6/10/2014,Russia,"$20,000 - $40,000",,,,Java,,,,,,,,,Male,Windows 7,100
25-29,2/5/2014,United Kingdom,"$100,000 - $120,000",,,,Java,JavaScript,,,,Python,,,,Male,Windows 7,100
30-34,6/10/2014,Canada,"$60,000 - $80,000",C,,,,,,,,,,,Matlab,Male,Windows 7,1/5/2014
40-50,11,United States,,,,C#,,JavaScript,,,,Python,,SQL,,Male,Windows 7,6/15/2014
35-39,11,France,Rather not say,,,C#,Java,JavaScript,Node.js,Objective-C,PHP,Python,,SQL,,Male,Windows 7,1/5/2014
30-34,11,United Kingdom,"$80,000 - $100,000",,,C#,Java,,,Objective-C,,Python,,,MongoDB,Male,Ubuntu,6/15/2014
35-39,11,Australia,Rather not say,C,,,,,,Objective-C,PHP,,Ruby,,,Male,Mac OS X,
40-50,11,Germany,">$140,000",,,,Java,JavaScript,,,,,,,VBScript(doh),Male,Windows 7,1/5/2014
30-34,6/10/2014,Germany,"$40,000 - $60,000",,,,Java,,,Objective-C,,,,SQL,PL/SQL,Male,Windows 7,16-30
30-34,11,Germany,Rather not say,,,C#,Java,,,,,,,SQL,,Male,Windows 7,1/5/2014
20-24,2/5/2014,United States,"$20,000 - $40,000",,,,Java,,,Objective-C,,Python,,,,Male,Ubuntu,6/15/2014
20-24,6/10/2014,Belarus,Rather not say,,,C#,,JavaScript,,,,,Ruby,SQL,,Prefer not to disclose,Windows 8,1/5/2014
30-34,11,United Kingdom,">$140,000",,,,Java,,,,,Python,,,,Male,Ubuntu,100
35-39,11,Germany,"$80,000 - $100,000",,,,Java,,,,,,,SQL,,Male,Ubuntu,31-50
30-34,11,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
20-24,2/5/2014,Malaysia,"<$20,000",,,,Java,JavaScript,,,PHP,,,SQL,,Male,Ubuntu,6/15/2014
20-24,2/5/2014,China,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
25-29,2/5/2014,United Kingdom,"$20,000 - $40,000",,,C#,,,,,,,,SQL,vb,Male,Windows 8,1/5/2014
40-50,11,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,,,Female,Windows 8,1/5/2014
30-34,2/5/2014,United Kingdom,"$20,000 - $40,000",,,,Java,JavaScript,,,PHP,Python,,SQL,,Male,Ubuntu,1/5/2014
30-34,6/10/2014,Sweden,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
35-39,11,United Kingdom,"$100,000 - $120,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,31-50
25-29,6/10/2014,United States,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Debian,1/5/2014
25-29,6/10/2014,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,Node.js,,,Python,,,,Male,Mac OS X,1/5/2014
40-50,11,Argentina,"<$20,000",C,,C#,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 7,1/5/2014
25-29,6/10/2014,Brazil,"$100,000 - $120,000",,,C#,Java,JavaScript,,Objective-C,,,Ruby,,Scala,Male,Mac OS X,16-30
35-39,11,Spain,"$20,000 - $40,000",,,,,JavaScript,,,,,,SQL,.NET,Male,Windows 7,16-30
40-50,11,United States,"$100,000 - $120,000",,C++,,Java,,,,,,,,,Female,Windows 7,16-30
25-29,2/5/2014,United States,"$20,000 - $40,000",,,,,,,Objective-C,,,Ruby,SQL,,Male,Mac OS X,16-30
51-60,2/5/2014,Spain,Rather not say,,C++,,,,,,,,,,,Male,Linux,1/5/2014
35-39,11,United States,"$100,000 - $120,000",,,,Java,,,,,,,,,Male,Mac OS X,1/5/2014
25-29,2/5/2014,United Kingdom,"$60,000 - $80,000",,,,Java,,,Objective-C,PHP,,Ruby,SQL,,Male,Mac OS X,6/15/2014
20-24,2/5/2014,United States,"<$20,000",,,,,,,Objective-C,PHP,,,SQL,,Male,Mac OS X,1/5/2014
20-24,6/10/2014,Germany,"<$20,000",,C++,,,JavaScript,,Objective-C,PHP,,,SQL,,Male,Mac OS X,1/5/2014
20-24,<2,Poland,"<$20,000",C,C++,,,,,,,,,,,Male,Linux,100
35-39,11,Finland,Rather not say,,,,,JavaScript,,,,,,,perl,Female,Windows 7,16-30
30-34,11,Canada,"$80,000 - $100,000",,,C#,,JavaScript,Node.js,,,,,SQL,,Male,Windows 8,6/15/2014
35-39,11,Canada,"$100,000 - $120,000",,C++,,Java,JavaScript,,Objective-C,PHP,,,SQL,,Male,Mac OS X,6/15/2014
40-50,11,United States,"$120,000 - $140,000",,C++,,Java,,,,,,,SQL,,Male,Windows 7,100
25-29,2/5/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,6/15/2014
30-34,6/10/2014,Spain,"$20,000 - $40,000",,,,Java,,,,,Python,,SQL,,Male,Windows 7,16-30
40-50,11,United Kingdom,"$60,000 - $80,000",,,,Java,,,,,,,SQL,,Male,Windows 7,31-50
35-39,11,United States,">$140,000",,,,,JavaScript,Node.js,,,,Ruby,SQL,,Male,Mac OS X,100
30-34,11,Netherlands,"$80,000 - $100,000",,,,,JavaScript,Node.js,,PHP,,,SQL,,Male,Windows 7,50-100
25-29,2/5/2014,United States,"$40,000 - $60,000",,,,Java,JavaScript,,,PHP,,,SQL,,Female,Windows 7,16-30
25-29,6/10/2014,Norway,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,SQL,,Male,Mac OS X,100
20-24,2/5/2014,Romania,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Linux,6/15/2014
30-34,6/10/2014,Poland,,,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 8,6/15/2014
25-29,2/5/2014,United States,"$80,000 - $100,000",,,,,JavaScript,,,,,,SQL,Groovy,Male,Mac OS X,6/15/2014
25-29,6/10/2014,United Kingdom,Rather not say,,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,16-30
30-34,6/10/2014,Netherlands,Rather not say,,,,,JavaScript,,,,Python,,SQL,,Male,Mac OS X,1/5/2014
35-39,11,United Kingdom,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
25-29,6/10/2014,Ukraine,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
< 20,6/10/2014,United Kingdom,Rather not say,,C++,,Java,JavaScript,Node.js,,PHP,Python,,SQL,,Male,Linux,6/15/2014
25-29,2/5/2014,Canada,"$40,000 - $60,000",,,C#,,JavaScript,,,,Python,,SQL,,Female,Windows 8,1/5/2014
20-24,2/5/2014,Germany,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,1/5/2014
35-39,11,United States,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,6/15/2014
25-29,2/5/2014,United States,"$80,000 - $100,000",,,C#,,,,,,,,SQL,,Male,Mac OS X,50-100
40-50,11,United States,"$120,000 - $140,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
30-34,2/5/2014,Germany,"$60,000 - $80,000",,,,Java,,,,,,,SQL,,Male,Windows 7,31-50
20-24,6/10/2014,Israel,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,"signalr, redis, mongodb, xhtml, css, rest",Male,Windows 7,100
25-29,6/10/2014,Germany,"$60,000 - $80,000",,,C#,,,,,,,,SQL,,Male,Windows 7,100
20-24,2/5/2014,India,Rather not say,C,,,,,,Objective-C,,,,SQL,,Male,Mac OS X,100
20-24,2/5/2014,Philippines,"<$20,000",,C++,,,,,Objective-C,PHP,,,SQL,,Male,Mac OS X,100
25-29,2/5/2014,Spain,Rather not say,C,C++,,,,,,,,,,,Male,Windows XP,1/5/2014
30-34,11,Ukraine,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,,,Male,Ubuntu,100
35-39,11,Canada,,C,C++,C#,,JavaScript,,,,,,,"vb-classic,vb-script,vb.net,C++/CLR,C++/CX,Postscript",Male,Windows 8,1/5/2014
30-34,6/10/2014,Austria,"$20,000 - $40,000",,C++,,,,,,,Python,,,Matlab,Male,Linux,1/5/2014
25-29,6/10/2014,Russia,Rather not say,,C++,,,JavaScript,,,,,,,Scala,Male,Linux,6/15/2014
25-29,2/5/2014,Canada,"$60,000 - $80,000",,,C#,,,,,,,Ruby,SQL,puppet,Male,Windows 7,100
< 20,2/5/2014,United States,Student / Unemployed,,,,Java,,,,,,,,,Prefer not to disclose,Mac OS X,100
40-50,6/10/2014,Germany,"$40,000 - $60,000",,,,,JavaScript,,,,Python,,,,Male,Linux,31-50
35-39,11,United States,"$100,000 - $120,000",,,,,,,,,Python,,SQL,,Male,Windows 7,1/5/2014
35-39,11,India,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,100
25-29,11,Spain,"$20,000 - $40,000",,C++,C#,,,,,,Python,,,,Male,Windows 8,1/5/2014
25-29,2/5/2014,Canada,"$60,000 - $80,000",,,,Java,,Node.js,,,Python,,,,Male,Mac OS X,6/15/2014
25-29,2/5/2014,United States,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows XP,100
30-34,6/10/2014,United States,Student / Unemployed,,C++,,,JavaScript,,,,Python,,SQL,Prolog,Male,Ubuntu,100
40-50,11,United States,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
20-24,<2,United States,"$80,000 - $100,000",,,,,JavaScript,,,,,Ruby,,,Male,Mac OS X,6/15/2014
35-39,11,Greece,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,1/5/2014
35-39,11,United States,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
30-34,11,Russia,"$20,000 - $40,000",,,,,JavaScript,,,,Python,,SQL,,Male,Ubuntu,6/15/2014
40-50,11,United States,"$80,000 - $100,000",,,,,JavaScript,,,,,,SQL,ColdFusion,Male,Windows 7,31-50
25-29,6/10/2014,United Kingdom,"$100,000 - $120,000",,,,,JavaScript,,,,,,SQL,Salesforce.com,Male,Windows 8,31-50
40-50,11,United Kingdom,"$80,000 - $100,000",,,C#,,JavaScript,,,PHP,,,SQL,F#,Male,Windows 7,100
30-34,6/10/2014,Netherlands,"$60,000 - $80,000",,,C#,Java,JavaScript,,,,Python,,SQL,,Male,Windows 7,100
30-34,<2,Japan,"$20,000 - $40,000",,C++,,,,,,,,,,,Male,Windows 7,6/15/2014
20-24,2/5/2014,Israel,Rather not say,,C++,C#,,,,,,,,SQL,,Male,Windows 7,100
30-34,2/5/2014,Canada,Rather not say,C,,,,JavaScript,Node.js,,,Python,,,,Male,Mac OS X,6/15/2014
20-24,<2,Canada,"$20,000 - $40,000",,,,,,,Objective-C,,,,,,Male,Windows 7,1/5/2014
25-29,6/10/2014,India,"<$20,000",C,C++,,,,,,,,,,,Male,Windows 7,100
20-24,6/10/2014,Germany,">$140,000",C,C++,C#,,,,,,,,,,Male,Windows 7,1/5/2014
40-50,11,United States,"$120,000 - $140,000",,,,,,,,,Python,,,PowerShell,Male,Windows 7,1/5/2014
30-34,6/10/2014,Philippines,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,16-30
25-29,6/10/2014,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
40-50,11,United States,">$140,000",C,C++,C#,,,,Objective-C,,Python,,SQL,,Male,Windows XP,31-50
30-34,11,Switzerland,"$60,000 - $80,000",,C++,C#,Java,,,,,,,,,Male,Windows 7,1/5/2014
40-50,11,Canada,"$60,000 - $80,000",C,,C#,Java,JavaScript,,Objective-C,PHP,Python,Ruby,SQL,,Male,Other,100
30-34,11,Canada,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,Ruby,SQL,,Female,Mac OS X,50-100
40-50,11,United States,">$140,000",,C++,,,,,,,Python,,SQL,,Male,Windows 7,100
51-60,11,United Kingdom,"$60,000 - $80,000",,,,,,,,,Python,,SQL,,Male,Debian,100
20-24,<2,Lithuania,Student / Unemployed,C,C++,,,,,,,,,,,Male,Windows 7,
20-24,2/5/2014,United Kingdom,"$20,000 - $40,000",,,,Java,JavaScript,Node.js,Objective-C,,,,,,Male,Mac OS X,100
25-29,2/5/2014,Kazakhstan,"$20,000 - $40,000",,,C#,,,,,,,,,,Male,Windows 7,1/5/2014
30-34,2/5/2014,Japan,"$40,000 - $60,000",,,C#,Java,JavaScript,,,,Python,,SQL,,Male,Windows 7,6/15/2014
25-29,6/10/2014,Poland,Rather not say,,,,Java,JavaScript,,,PHP,,,SQL,web services like SOAP,Male,Windows 8,100
25-29,11,United States,Rather not say,,,,Java,JavaScript,Node.js,,PHP,,Ruby,SQL,,Prefer not to disclose,Mac OS X,1/5/2014
20-24,2/5/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
25-29,2/5/2014,United Kingdom,"$20,000 - $40,000",,,C#,Java,JavaScript,,,PHP,,,,,Male,Windows 7,50-100
35-39,11,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,VB.NET,Male,Windows 7,16-30
25-29,2/5/2014,United States,"$60,000 - $80,000",,,,,,,,,,,,vb.net,Male,Windows 7,1/5/2014
25-29,6/10/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,100
